model,accuracy,correct,rows,changed_seat_accuracy,brier_score,log_loss
Selected regional hybrid (2024-tuned),0.8924050632911392,564,632,0.8533333333333334,0.24595349496235147,0.5255424689007689
Averaged projection,0.8449367088607594,534,632,0.75,0.29805338116851965,0.5914436574218642
mae_10_seeds,0.7658227848101266,484,632,0.6033333333333334,0.40550011995196367,1.4106016159057617
Existing projection,0.7626582278481012,482,632,0.7966666666666666,0.32340960985253625,0.6477354497014545
Vote-share swing,0.7436708860759493,470,632,0.5,0.34106897279958204,0.6322922577993875
ce_cap10_10_seeds,0.7199367088607594,455,632,0.4866666666666667,0.38631814643157775,0.7705878615379333
ce_cap25_10_seeds,0.6819620253164557,431,632,0.36,0.4342342902269104,0.8124607801437378
