model,seed,best_epoch,stopping_epoch,validation_loss,validation_accuracy,test_accuracy
mae_10_seeds,10011223,204,254,0.06991434842348099,0.8259493670886076,0.75
mae_10_seeds,10011224,146,196,0.05660749599337578,0.8607594936708861,0.7705696202531646
mae_10_seeds,10011225,233,283,0.06840049475431442,0.8322784810126582,0.7579113924050633
mae_10_seeds,10011226,231,281,0.061950795352458954,0.8417721518987342,0.7563291139240507
mae_10_seeds,10011227,192,242,0.06581731140613556,0.8322784810126582,0.7658227848101266
mae_10_seeds,10011228,186,236,0.0635562464594841,0.8417721518987342,0.7800632911392406
mae_10_seeds,10011229,245,295,0.0682794526219368,0.8259493670886076,0.7610759493670886
mae_10_seeds,10011230,293,343,0.0633191391825676,0.8449367088607594,0.7721518987341772
mae_10_seeds,10011231,219,269,0.07285969704389572,0.8164556962025317,0.7784810126582279
mae_10_seeds,10011232,217,267,0.059529490768909454,0.8512658227848101,0.7436708860759493
ce_cap10_10_seeds,10011223,10,10,0.44692906737327576,0.7974683544303798,0.7009493670886076
ce_cap10_10_seeds,10011224,10,10,0.38821062445640564,0.8607594936708861,0.7816455696202531
ce_cap10_10_seeds,10011225,10,10,0.5268609523773193,0.8069620253164557,0.7088607594936709
ce_cap10_10_seeds,10011226,10,10,0.4229341447353363,0.8386075949367089,0.7088607594936709
ce_cap10_10_seeds,10011227,10,10,0.4184248149394989,0.819620253164557,0.7120253164556962
ce_cap10_10_seeds,10011228,10,10,0.408649742603302,0.8449367088607594,0.7373417721518988
ce_cap10_10_seeds,10011229,10,10,0.4329860508441925,0.8069620253164557,0.7341772151898734
ce_cap10_10_seeds,10011230,10,10,0.4152734875679016,0.8291139240506329,0.7199367088607594
ce_cap10_10_seeds,10011231,10,10,0.43448522686958313,0.8069620253164557,0.7294303797468354
ce_cap10_10_seeds,10011232,10,10,0.31901201605796814,0.8481012658227848,0.6787974683544303
ce_cap25_10_seeds,10011223,24,25,0.3207060396671295,0.8259493670886076,0.7056962025316456
ce_cap25_10_seeds,10011224,25,25,0.2841707468032837,0.8639240506329114,0.7832278481012658
ce_cap25_10_seeds,10011225,25,25,0.38936319947242737,0.819620253164557,0.7294303797468354
ce_cap25_10_seeds,10011226,25,25,0.3004082441329956,0.8575949367088608,0.6993670886075949
ce_cap25_10_seeds,10011227,25,25,0.35608232021331787,0.8417721518987342,0.689873417721519
ce_cap25_10_seeds,10011228,25,25,0.24376794695854187,0.9145569620253164,0.6819620253164557
ce_cap25_10_seeds,10011229,25,25,0.28153616189956665,0.8860759493670886,0.6756329113924051
ce_cap25_10_seeds,10011230,25,25,0.298071026802063,0.870253164556962,0.6867088607594937
ce_cap25_10_seeds,10011231,25,25,0.29049959778785706,0.879746835443038,0.680379746835443
ce_cap25_10_seeds,10011232,24,25,0.19590257108211517,0.9272151898734177,0.6234177215189873
