seed,learning_rate,best_epoch,stopping_epoch,best_validation_loss,validation_year,train_through,hit_epoch_cap
101223,0.1,3,23,0.4011889398097992,2017,2015,False
101224,0.1,2,22,0.32893669605255127,2017,2015,False
101225,0.1,3,23,0.3152400851249695,2017,2015,False
101226,0.1,2,22,0.3813319504261017,2017,2015,False
101227,0.1,4,24,0.35460028052330017,2017,2015,False
101228,0.1,4,24,0.31985098123550415,2017,2015,False
101229,0.1,2,22,0.3832404613494873,2017,2015,False
101230,0.1,3,23,0.41415366530418396,2017,2015,False
101231,0.1,3,23,0.36375272274017334,2017,2015,False
101232,0.1,3,23,0.35802745819091797,2017,2015,False
101223,0.2,1,21,0.4410147964954376,2017,2015,False
101224,0.2,1,21,0.32561925053596497,2017,2015,False
101225,0.2,2,22,0.3221345841884613,2017,2015,False
101226,0.2,2,22,0.3625524640083313,2017,2015,False
101227,0.2,2,22,0.3593979775905609,2017,2015,False
101228,0.2,1,21,0.3795686364173889,2017,2015,False
101229,0.2,2,22,0.38159218430519104,2017,2015,False
101230,0.2,2,22,0.3802869915962219,2017,2015,False
101231,0.2,1,21,0.37660789489746094,2017,2015,False
101232,0.2,3,23,0.375975102186203,2017,2015,False
101223,0.3,1,21,0.4364999234676361,2017,2015,False
101224,0.3,1,21,0.3497331440448761,2017,2015,False
101225,0.3,2,22,0.3372461497783661,2017,2015,False
101226,0.3,2,22,0.34178754687309265,2017,2015,False
101227,0.3,2,22,0.4300108850002289,2017,2015,False
101228,0.3,1,21,0.38868677616119385,2017,2015,False
101229,0.3,15,35,0.4128934144973755,2017,2015,False
101230,0.3,2,22,0.4208357036113739,2017,2015,False
101231,0.3,1,21,0.38388994336128235,2017,2015,False
101232,0.3,3,23,0.3988189995288849,2017,2015,False
101223,0.5,1,21,0.4843594431877136,2017,2015,False
101224,0.5,6,26,0.41050657629966736,2017,2015,False
101225,0.5,2,22,0.34153786301612854,2017,2015,False
101226,0.5,2,22,0.38574832677841187,2017,2015,False
101227,0.5,21,41,0.43558135628700256,2017,2015,False
101228,0.5,1,21,0.4726267457008362,2017,2015,False
101229,0.5,15,35,0.41096192598342896,2017,2015,False
101230,0.5,6,26,0.4074203372001648,2017,2015,False
101231,0.5,1,21,0.47197186946868896,2017,2015,False
101232,0.5,3,23,0.4303802251815796,2017,2015,False
