evaluation_year,architecture,policy,seed,accuracy,changed_accuracy,con_seats,lab_seats,lib_seats,natSW_seats,oth_seats
1997,16,validation_all_rates,101223,0.6848673946957878,0.05625,362,270,6,3,0
1997,16,validation_all_rates,101224,0.6879875195007801,0.05,365,262,6,8,0
1997,16,validation_all_rates,101225,0.6895475819032761,0.0625,363,265,6,7,0
1997,16,validation_all_rates,101226,0.7129485179407177,0.1625,347,282,6,6,0
1997,16,validation_all_rates,101227,0.7145085803432137,0.18125,341,292,6,2,0
1997,16,validation_all_rates,101228,0.6833073322932918,0.10625,361,280,0,0,0
1997,16,validation_all_rates,101229,0.6989079563182528,0.125,347,286,8,0,0
1997,16,validation_all_rates,101230,0.6770670826833073,0.04375,366,269,6,0,0
1997,16,validation_all_rates,101231,0.6848673946957878,0.05,365,266,6,4,0
1997,16,validation_all_rates,101232,0.6957878315132605,0.10625,355,277,6,3,0
1997,16,fixed_0.3,101223,0.6755070202808112,0.0375,367,268,6,0,0
1997,16,fixed_0.3,101224,0.6786271450858035,0.05625,370,258,6,7,0
1997,16,fixed_0.3,101225,0.6864274570982839,0.05625,364,266,6,5,0
1997,16,fixed_0.3,101226,0.6926677067082684,0.08125,360,269,6,6,0
1997,16,fixed_0.3,101227,0.6817472698907956,0.0375,368,262,5,6,0
1997,16,fixed_0.3,101228,0.6895475819032761,0.06875,361,268,6,6,0
1997,16,fixed_0.3,101229,0.6755070202808112,0.04375,367,269,5,0,0
1997,16,fixed_0.3,101230,0.6801872074882995,0.05,366,268,6,1,0
1997,16,fixed_0.3,101231,0.6801872074882995,0.05625,369,259,6,7,0
1997,16,fixed_0.3,101232,0.6786271450858035,0.0625,370,258,6,7,0
1997,32,validation_all_rates,101223,0.6879875195007801,0.05625,364,264,6,7,0
1997,32,validation_all_rates,101224,0.6848673946957878,0.04375,366,262,6,7,0
1997,32,validation_all_rates,101225,0.6879875195007801,0.05625,364,264,6,7,0
1997,32,validation_all_rates,101226,0.6801872074882995,0.05625,364,271,6,0,0
1997,32,validation_all_rates,101227,0.733229329173167,0.24375,333,296,6,6,0
1997,32,validation_all_rates,101228,0.6739469578783152,0.04375,372,258,6,5,0
1997,32,validation_all_rates,101229,0.7113884555382215,0.15,345,282,9,5,0
1997,32,validation_all_rates,101230,0.6864274570982839,0.04375,364,265,8,4,0
1997,32,validation_all_rates,101231,0.6879875195007801,0.05625,364,264,6,7,0
1997,32,validation_all_rates,101232,0.7020280811232449,0.11875,353,276,6,6,0
1997,32,fixed_0.3,101223,0.6770670826833073,0.03125,368,265,6,2,0
1997,32,fixed_0.3,101224,0.6770670826833073,0.04375,366,269,6,0,0
1997,32,fixed_0.3,101225,0.6817472698907956,0.04375,366,266,5,4,0
1997,32,fixed_0.3,101226,0.6786271450858035,0.04375,366,268,6,1,0
1997,32,fixed_0.3,101227,0.6817472698907956,0.03125,368,260,6,7,0
1997,32,fixed_0.3,101228,0.6848673946957878,0.04375,366,264,6,5,0
1997,32,fixed_0.3,101229,0.6879875195007801,0.0625,363,266,6,6,0
1997,32,fixed_0.3,101230,0.6879875195007801,0.0625,363,266,6,6,0
1997,32,fixed_0.3,101231,0.6801872074882995,0.05,369,259,6,7,0
1997,32,fixed_0.3,101232,0.6848673946957878,0.05,365,264,6,6,0
1997,32_16,validation_all_rates,101223,0.6786271450858035,0.05,369,266,6,0,0
1997,32_16,validation_all_rates,101224,0.6786271450858035,0.05,362,272,7,0,0
1997,32_16,validation_all_rates,101225,0.6692667706708268,0.05,374,267,0,0,0
1997,32_16,validation_all_rates,101226,0.6895475819032761,0.1,357,278,6,0,0
1997,32_16,validation_all_rates,101227,0.748829953198128,0.36875,314,327,0,0,0
1997,32_16,validation_all_rates,101228,0.6864274570982839,0.05,365,263,6,7,0
1997,32_16,validation_all_rates,101229,0.6848673946957878,0.05625,365,261,8,7,0
1997,32_16,validation_all_rates,101230,0.6801872074882995,0.05625,362,269,10,0,0
1997,32_16,validation_all_rates,101231,0.6833073322932918,0.04375,363,268,8,2,0
1997,32_16,validation_all_rates,101232,0.6786271450858035,0.05625,362,274,5,0,0
1997,32_16,fixed_0.3,101223,0.6708268330733229,0.04375,367,272,2,0,0
1997,32_16,fixed_0.3,101224,0.6677067082683308,0.04375,370,271,0,0,0
1997,32_16,fixed_0.3,101225,0.7207488299531981,0.25625,333,308,0,0,0
1997,32_16,fixed_0.3,101226,0.6786271450858035,0.05,363,271,7,0,0
1997,32_16,fixed_0.3,101227,0.6755070202808112,0.05625,371,259,5,6,0
1997,32_16,fixed_0.3,101228,0.6801872074882995,0.06875,367,262,6,6,0
1997,32_16,fixed_0.3,101229,0.6833073322932918,0.10625,359,281,1,0,0
1997,32_16,fixed_0.3,101230,0.6895475819032761,0.0875,361,273,5,2,0
1997,32_16,fixed_0.3,101231,0.6739469578783152,0.05625,372,256,6,7,0
1997,32_16,fixed_0.3,101232,0.6879875195007801,0.075,356,277,8,0,0
1997,64_32,validation_all_rates,101223,0.6879875195007801,0.05625,364,264,6,7,0
1997,64_32,validation_all_rates,101224,0.6833073322932918,0.04375,366,265,6,4,0
1997,64_32,validation_all_rates,101225,0.748829953198128,0.30625,322,307,5,7,0
1997,64_32,validation_all_rates,101226,0.6911076443057722,0.1,353,282,6,0,0
1997,64_32,validation_all_rates,101227,0.7082683307332294,0.19375,341,298,2,0,0
1997,64_32,validation_all_rates,101228,0.656786271450858,0.0375,383,250,6,2,0
1997,64_32,validation_all_rates,101229,0.734789391575663,0.225,313,316,12,0,0
1997,64_32,validation_all_rates,101230,0.6801872074882995,0.05625,364,270,7,0,0
1997,64_32,validation_all_rates,101231,0.6833073322932918,0.04375,365,266,6,4,0
1997,64_32,validation_all_rates,101232,0.6817472698907956,0.0625,363,272,6,0,0
1997,64_32,fixed_0.3,101223,0.6677067082683308,0.04375,373,268,0,0,0
1997,64_32,fixed_0.3,101224,0.672386895475819,0.0625,365,276,0,0,0
1997,64_32,fixed_0.3,101225,0.6879875195007801,0.125,353,288,0,0,0
1997,64_32,fixed_0.3,101226,0.6817472698907956,0.0625,361,274,6,0,0
1997,64_32,fixed_0.3,101227,0.6739469578783152,0.05625,373,256,5,7,0
1997,64_32,fixed_0.3,101228,0.6817472698907956,0.06875,367,261,6,7,0
1997,64_32,fixed_0.3,101229,0.6801872074882995,0.05625,366,269,6,0,0
1997,64_32,fixed_0.3,101230,0.6848673946957878,0.09375,359,279,3,0,0
1997,64_32,fixed_0.3,101231,0.6786271450858035,0.05625,369,259,6,7,0
1997,64_32,fixed_0.3,101232,0.6848673946957878,0.05625,362,270,6,3,0
2001,16,validation_all_rates,101223,0.9375975039001561,0.125,189,417,25,10,0
2001,16,validation_all_rates,101224,0.9547581903276131,0.25,153,421,58,9,0
2001,16,validation_all_rates,101225,0.9563182527301092,0.08333333333333333,165,422,42,12,0
2001,16,validation_all_rates,101226,0.9188767550702028,0.16666666666666666,180,429,22,10,0
2001,16,validation_all_rates,101227,0.9578783151326054,0.08333333333333333,164,424,43,10,0
2001,16,validation_all_rates,101228,0.8720748829953198,0.375,244,372,25,0,0
2001,16,validation_all_rates,101229,0.9001560062402496,0.25,219,398,15,9,0
2001,16,validation_all_rates,101230,0.9173166926677067,0.16666666666666666,203,410,19,9,0
2001,16,validation_all_rates,101231,0.890795631825273,0.25,225,389,17,10,0
2001,16,validation_all_rates,101232,0.9188767550702028,0.20833333333333334,192,426,23,0,0
2001,16,fixed_0.3,101223,0.9407176287051482,0.125,187,418,26,10,0
2001,16,fixed_0.3,101224,0.9578783151326054,0.08333333333333333,168,422,47,4,0
2001,16,fixed_0.3,101225,0.9407176287051482,0.08333333333333333,175,429,37,0,0
2001,16,fixed_0.3,101226,0.9438377535101404,0.08333333333333333,180,418,36,7,0
