evaluation_year,architecture,policy,actual_party,predicted_party,seats
1997,32_16,fixed_0.3,oth,lab,1
1997,32_16,fixed_0.3,oth,lib,0
1997,32_16,fixed_0.3,oth,natSW,0
1997,32_16,fixed_0.3,oth,oth,0
1997,64_32,validation_all_rates,con,con,166
1997,64_32,validation_all_rates,con,lab,0
1997,64_32,validation_all_rates,con,lib,0
1997,64_32,validation_all_rates,con,natSW,0
1997,64_32,validation_all_rates,con,oth,0
1997,64_32,validation_all_rates,lab,con,154
1997,64_32,validation_all_rates,lab,lab,264
1997,64_32,validation_all_rates,lab,lib,0
1997,64_32,validation_all_rates,lab,natSW,0
1997,64_32,validation_all_rates,lab,oth,0
1997,64_32,validation_all_rates,lib,con,38
1997,64_32,validation_all_rates,lib,lab,1
1997,64_32,validation_all_rates,lib,lib,6
1997,64_32,validation_all_rates,lib,natSW,0
1997,64_32,validation_all_rates,lib,oth,0
1997,64_32,validation_all_rates,natSW,con,4
1997,64_32,validation_all_rates,natSW,lab,3
1997,64_32,validation_all_rates,natSW,lib,0
1997,64_32,validation_all_rates,natSW,natSW,3
1997,64_32,validation_all_rates,natSW,oth,0
1997,64_32,validation_all_rates,oth,con,1
1997,64_32,validation_all_rates,oth,lab,1
1997,64_32,validation_all_rates,oth,lib,0
1997,64_32,validation_all_rates,oth,natSW,0
1997,64_32,validation_all_rates,oth,oth,0
1997,64_32,fixed_0.3,con,con,166
1997,64_32,fixed_0.3,con,lab,0
1997,64_32,fixed_0.3,con,lib,0
1997,64_32,fixed_0.3,con,natSW,0
1997,64_32,fixed_0.3,con,oth,0
1997,64_32,fixed_0.3,lab,con,155
1997,64_32,fixed_0.3,lab,lab,263
1997,64_32,fixed_0.3,lab,lib,0
1997,64_32,fixed_0.3,lab,natSW,0
1997,64_32,fixed_0.3,lab,oth,0
1997,64_32,fixed_0.3,lib,con,38
1997,64_32,fixed_0.3,lib,lab,1
1997,64_32,fixed_0.3,lib,lib,6
1997,64_32,fixed_0.3,lib,natSW,0
1997,64_32,fixed_0.3,lib,oth,0
1997,64_32,fixed_0.3,natSW,con,4
1997,64_32,fixed_0.3,natSW,lab,4
1997,64_32,fixed_0.3,natSW,lib,0
1997,64_32,fixed_0.3,natSW,natSW,2
1997,64_32,fixed_0.3,natSW,oth,0
1997,64_32,fixed_0.3,oth,con,1
1997,64_32,fixed_0.3,oth,lab,1
1997,64_32,fixed_0.3,oth,lib,0
1997,64_32,fixed_0.3,oth,natSW,0
1997,64_32,fixed_0.3,oth,oth,0
2001,16,validation_all_rates,con,con,160
2001,16,validation_all_rates,con,lab,5
2001,16,validation_all_rates,con,lib,0
2001,16,validation_all_rates,con,natSW,1
2001,16,validation_all_rates,con,oth,0
2001,16,validation_all_rates,lab,con,2
2001,16,validation_all_rates,lab,lab,409
2001,16,validation_all_rates,lab,lib,0
2001,16,validation_all_rates,lab,natSW,1
2001,16,validation_all_rates,lab,oth,0
2001,16,validation_all_rates,lib,con,25
2001,16,validation_all_rates,lib,lab,1
2001,16,validation_all_rates,lib,lib,26
2001,16,validation_all_rates,lib,natSW,0
2001,16,validation_all_rates,lib,oth,0
2001,16,validation_all_rates,natSW,con,0
2001,16,validation_all_rates,natSW,lab,1
2001,16,validation_all_rates,natSW,lib,0
2001,16,validation_all_rates,natSW,natSW,8
2001,16,validation_all_rates,natSW,oth,0
2001,16,validation_all_rates,oth,con,0
2001,16,validation_all_rates,oth,lab,2
2001,16,validation_all_rates,oth,lib,0
2001,16,validation_all_rates,oth,natSW,0
2001,16,validation_all_rates,oth,oth,0
2001,16,fixed_0.3,con,con,160
2001,16,fixed_0.3,con,lab,5
2001,16,fixed_0.3,con,lib,0
2001,16,fixed_0.3,con,natSW,1
