evaluation_year,architecture,policy,learning_rate,rows,accuracy,overall_changed_score,log_loss,brier,previous_winner_accuracy,known_previous_rows,known_previous_accuracy,previous_winner_known_accuracy,unknown_previous_rows,unknown_previous_accuracy,accuracy_gain_pp,changed_seats,correct_changes,changed_accuracy,called_changes,correct_change_precision,false_changes_on_held_seats,wrong_destination_on_changed_seats,held_seat_accuracy,seat_count_absolute_error
1997,16,validation_all_rates,1.0,641,0.6864274570982839,0.37133872854914196,1.1393280937070331,0.5202605320713568,0.608424336973479,550,0.7181818181818181,0.7090909090909091,91,0.4945054945054945,7.800312012480493,160,9,0.05625,14,0.6428571428571429,4,1,0.9897435897435898,394
1997,16,fixed_0.3,0.3,641,0.6848673946957878,0.36743369734789394,1.3381504412076834,0.5643391838646575,0.608424336973479,550,0.7163636363636363,0.7090909090909091,91,0.4945054945054945,7.6443057722308865,160,8,0.05,12,0.6666666666666666,4,0,0.9897435897435898,398
1997,32,validation_all_rates,1.0,641,0.6895475819032761,0.37602379095163807,1.173859276839012,0.5300148377831008,0.608424336973479,550,0.7218181818181818,0.7090909090909091,91,0.4945054945054945,8.112324492979717,160,10,0.0625,14,0.7142857142857143,3,1,0.9923076923076923,392
1997,32,fixed_0.3,0.3,641,0.6848673946957878,0.36743369734789394,1.2716367270627655,0.5609367747639982,0.608424336973479,550,0.7163636363636363,0.7090909090909091,91,0.4945054945054945,7.6443057722308865,160,8,0.05,12,0.6666666666666666,4,0,0.9897435897435898,398
1997,32_16,validation_all_rates,1.0,641,0.6786271450858035,0.36431357254290175,1.212377726241631,0.5447257634606577,0.608424336973479,550,0.7090909090909091,0.7090909090909091,91,0.4945054945054945,7.020280811232449,160,8,0.05,17,0.47058823529411764,8,1,0.9794871794871794,396
1997,32_16,fixed_0.3,0.3,641,0.6786271450858035,0.36431357254290175,1.3364291674383095,0.5550286112204851,0.608424336973479,550,0.7090909090909091,0.7090909090909091,91,0.4945054945054945,7.020280811232449,160,8,0.05,17,0.47058823529411764,8,1,0.9794871794871794,398
1997,64_32,validation_all_rates,1.0,641,0.6848673946957878,0.37055869734789393,1.1723628986982888,0.5201577931740267,0.608424336973479,550,0.7163636363636363,0.7090909090909091,91,0.4945054945054945,7.6443057722308865,160,9,0.05625,15,0.6,5,1,0.9871794871794872,394
1997,64_32,fixed_0.3,0.3,641,0.6817472698907956,0.3658736349453978,1.3493111571583505,0.5577938938039223,0.608424336973479,550,0.7127272727272728,0.7090909090909091,91,0.4945054945054945,7.332293291731662,160,8,0.05,15,0.5333333333333333,6,1,0.9846153846153847,396
2001,16,validation_all_rates,1.0,641,0.9407176287051482,0.5328588143525741,0.2071148365592762,0.0991645330631171,0.9625585023400937,641,0.9407176287051482,0.9625585023400937,0,,-2.184087363494547,24,3,0.125,21,0.14285714285714285,17,1,0.9724473257698542,56
2001,16,fixed_0.3,0.3,641,0.9453978159126365,0.5560322412896516,0.2055607710416642,0.0984388878303656,0.9625585023400937,641,0.9453978159126365,0.9625585023400937,0,,-1.7160686427457161,24,4,0.16666666666666666,20,0.2,15,1,0.9756888168557536,52
2001,32,validation_all_rates,1.0,641,0.9422776911076443,0.5336388455538221,0.2062270453358673,0.0965803292652915,0.9625585023400937,641,0.9422776911076443,0.9625585023400937,0,,-2.0280811232449403,24,3,0.125,20,0.15,16,1,0.9740680713128039,54
2001,32,fixed_0.3,0.3,641,0.9453978159126365,0.5560322412896516,0.2255973652080616,0.1065019116152593,0.9625585023400937,641,0.9453978159126365,0.9625585023400937,0,,-1.7160686427457161,24,4,0.16666666666666666,20,0.2,15,1,0.9756888168557536,52
2001,32_16,validation_all_rates,1.0,641,0.9438377535101404,0.5552522100884035,0.2285590231327696,0.1018471091090848,0.9625585023400937,641,0.9438377535101404,0.9625585023400937,0,,-1.8720748829953227,24,4,0.16666666666666666,21,0.19047619047619047,16,1,0.9740680713128039,54
2001,32_16,fixed_0.3,0.3,641,0.9204368174726989,0.5643850754030161,0.238329509083731,0.1179700800800501,0.9625585023400937,641,0.9204368174726989,0.9625585023400937,0,,-4.2121684867394755,24,5,0.20833333333333334,38,0.13157894736842105,32,1,0.9481361426256077,88
2001,64_32,validation_all_rates,1.0,641,0.9453978159126365,0.49353224128965156,0.1980770304477735,0.0896273210645546,0.9625585023400937,641,0.9453978159126365,0.9625585023400937,0,,-1.7160686427457161,24,1,0.041666666666666664,14,0.07142857142857142,12,1,0.9805510534846029,40
2001,64_32,fixed_0.3,0.3,641,0.921996879875195,0.5651651066042641,0.2469847474012797,0.1237362804605747,0.9625585023400937,641,0.921996879875195,0.9625585023400937,0,,-4.056162246489869,24,5,0.20833333333333334,37,0.13513513513513514,31,1,0.9497568881685575,86
2005,16,validation_all_rates,0.2,628,0.8057324840764332,0.7098837858978657,0.4328457538584594,0.2555280119441636,0.9092356687898089,628,0.8057324840764332,0.9092356687898089,0,,-10.350318471337571,57,35,0.6140350877192983,139,0.2517985611510791,100,4,0.8248686514886164,208
2005,16,fixed_0.3,0.3,628,0.802547770700637,0.717063359034529,0.4435664741634175,0.2616139977901646,0.9092356687898089,628,0.802547770700637,0.9092356687898089,0,,-10.66878980891719,57,36,0.631578947368421,143,0.2517482517482518,103,4,0.819614711033275,216
2005,32,validation_all_rates,0.5,628,0.8057324840764332,0.7098837858978657,0.421186014136569,0.2506288292476413,0.9092356687898089,628,0.8057324840764332,0.9092356687898089,0,,-10.350318471337571,57,35,0.6140350877192983,139,0.2517985611510791,100,4,0.8248686514886164,208
2005,32,fixed_0.3,0.3,628,0.7882165605095541,0.7098977539389876,0.4744053241742634,0.2860983089101918,0.9092356687898089,628,0.7882165605095541,0.9092356687898089,0,,-12.101910828025474,57,36,0.631578947368421,152,0.23684210526315788,112,4,0.8038528896672504,234
2005,32_16,validation_all_rates,0.2,628,0.7882165605095541,0.7011258241144263,0.4708750801054929,0.279784001884203,0.9092356687898089,628,0.7882165605095541,0.9092356687898089,0,,-12.101910828025474,57,35,0.6140350877192983,150,0.23333333333333334,111,4,0.8056042031523643,230
2005,32_16,fixed_0.3,0.3,628,0.7977707006369427,0.7059028941781205,0.4516092853463735,0.2667613819364668,0.9092356687898089,628,0.7977707006369427,0.9092356687898089,0,,-11.146496815286621,57,35,0.6140350877192983,144,0.24305555555555555,105,4,0.8161120840630472,218
2005,64_32,validation_all_rates,0.2,628,0.7914012738853503,0.7114901106268856,0.4597363671223232,0.2738944204947226,0.9092356687898089,628,0.7914012738853503,0.9092356687898089,0,,-11.783439490445858,57,36,0.631578947368421,149,0.24161073825503357,110,3,0.8073555166374781,230
2005,64_32,fixed_0.3,0.3,628,0.7945859872611465,0.7130824673147838,0.4439969605907372,0.263443722576361,0.9092356687898089,628,0.7945859872611465,0.9092356687898089,0,,-11.46496815286624,57,36,0.631578947368421,148,0.24324324324324326,108,4,0.8108581436077058,226
2010,16,validation_all_rates,1.0,632,0.8560126582278481,0.8431849005424955,0.3534498617113686,0.1982407584889142,0.8227848101265823,632,0.8560126582278481,0.8227848101265823,0,,3.322784810126578,112,93,0.8303571428571429,168,0.5535714285714286,72,3,0.8615384615384616,138
2010,16,fixed_0.3,0.3,632,0.8370253164556962,0.8560126582278481,0.4032905399877551,0.2334789272720257,0.8227848101265823,632,0.8370253164556962,0.8227848101265823,0,,1.424050632911389,112,98,0.875,190,0.5157894736842106,89,3,0.8288461538461539,188
2010,32,validation_all_rates,1.0,632,0.8481012658227848,0.8570863471971066,0.361105778982026,0.2060820804881507,0.8227848101265823,632,0.8481012658227848,0.8227848101265823,0,,2.5316455696202445,112,97,0.8660714285714286,181,0.5359116022099447,81,3,0.8442307692307692,170
2010,32,fixed_0.3,0.3,632,0.8338607594936709,0.8544303797468354,0.402869693733927,0.2326887795923186,0.8227848101265823,632,0.8338607594936709,0.8227848101265823,0,,1.1075949367088556,112,98,0.875,192,0.5104166666666666,91,3,0.825,194
2010,32_16,validation_all_rates,1.0,632,0.8734177215189873,0.8608160036166366,0.35282106373479,0.1928668450279258,0.8227848101265823,632,0.8734177215189873,0.8227848101265823,0,,5.0632911392405,112,95,0.8482142857142857,159,0.5974842767295597,63,1,0.8788461538461538,126
2010,32_16,fixed_0.3,0.3,632,0.8449367088607594,0.855504068716094,0.3916791493016202,0.2188125775841257,0.8227848101265823,632,0.8449367088607594,0.8227848101265823,0,,2.215189873417711,112,97,0.8660714285714286,183,0.5300546448087432,83,3,0.8403846153846154,174
2010,64_32,validation_all_rates,1.0,632,0.8924050632911392,0.8613811030741411,0.3051705595202954,0.1623767514902334,0.8227848101265823,632,0.8924050632911392,0.8227848101265823,0,,6.962025316455689,112,93,0.8303571428571429,143,0.6503496503496503,49,1,0.9057692307692308,94
2010,64_32,fixed_0.3,0.3,632,0.8575949367088608,0.8618331826401446,0.3600992311602582,0.2009934896252531,0.8227848101265823,632,0.8575949367088608,0.8227848101265823,0,,3.4810126582278444,112,97,0.8660714285714286,174,0.5574712643678161,75,2,0.8557692307692307,156
2015,16,validation_all_rates,0.5,632,0.7737341772151899,0.4510872720938335,0.8226645502907475,0.34772498522744,0.8275316455696202,632,0.7737341772151899,0.8275316455696202,0,,-5.379746835443033,109,14,0.12844036697247707,63,0.2222222222222222,48,1,0.9082217973231358,264
2015,16,fixed_0.3,0.3,632,0.7753164556962026,0.4610527232609453,0.8281933994136912,0.3544414627525596,0.8275316455696202,632,0.7753164556962026,0.8275316455696202,0,,-5.221518987341767,109,16,0.14678899082568808,66,0.24242424242424243,49,1,0.9063097514340345,266
