evaluation_year,architecture,policy,previous_party,actual_party,seats,correctly_predicted,accuracy,predicted_previous_party
2001,16,fixed_0.3,lib,lib,43,28,0.6511627906976745,28
2001,16,fixed_0.3,natSW,con,1,0,0.0,1
2001,16,fixed_0.3,natSW,lab,1,1,1.0,0
2001,16,fixed_0.3,natSW,natSW,8,8,1.0,8
2001,16,fixed_0.3,oth,con,1,1,1.0,0
2001,16,fixed_0.3,oth,lab,1,0,0.0,0
2001,32,validation_all_rates,con,con,157,157,1.0,157
2001,32,validation_all_rates,con,lab,1,0,0.0,1
2001,32,validation_all_rates,con,lib,8,0,0.0,8
2001,32,validation_all_rates,lab,con,5,0,0.0,5
2001,32,validation_all_rates,lab,lab,409,409,1.0,409
2001,32,validation_all_rates,lab,lib,1,0,0.0,1
2001,32,validation_all_rates,lab,natSW,1,0,0.0,1
2001,32,validation_all_rates,lab,oth,2,0,0.0,2
2001,32,validation_all_rates,lib,con,2,2,1.0,0
2001,32,validation_all_rates,lib,lib,43,27,0.627906976744186,27
2001,32,validation_all_rates,natSW,con,1,0,0.0,1
2001,32,validation_all_rates,natSW,lab,1,0,0.0,1
2001,32,validation_all_rates,natSW,natSW,8,8,1.0,8
2001,32,validation_all_rates,oth,con,1,1,1.0,0
2001,32,validation_all_rates,oth,lab,1,0,0.0,0
2001,32,fixed_0.3,con,con,157,157,1.0,157
2001,32,fixed_0.3,con,lab,1,0,0.0,1
2001,32,fixed_0.3,con,lib,8,0,0.0,8
2001,32,fixed_0.3,lab,con,5,0,0.0,5
2001,32,fixed_0.3,lab,lab,409,409,1.0,409
2001,32,fixed_0.3,lab,lib,1,0,0.0,1
2001,32,fixed_0.3,lab,natSW,1,0,0.0,1
2001,32,fixed_0.3,lab,oth,2,0,0.0,2
2001,32,fixed_0.3,lib,con,2,2,1.0,0
2001,32,fixed_0.3,lib,lib,43,28,0.6511627906976745,28
2001,32,fixed_0.3,natSW,con,1,0,0.0,1
2001,32,fixed_0.3,natSW,lab,1,1,1.0,0
2001,32,fixed_0.3,natSW,natSW,8,8,1.0,8
2001,32,fixed_0.3,oth,con,1,1,1.0,0
2001,32,fixed_0.3,oth,lab,1,0,0.0,0
2001,32_16,validation_all_rates,con,con,157,157,1.0,157
2001,32_16,validation_all_rates,con,lab,1,0,0.0,1
2001,32_16,validation_all_rates,con,lib,8,0,0.0,8
2001,32_16,validation_all_rates,lab,con,5,0,0.0,5
2001,32_16,validation_all_rates,lab,lab,409,409,1.0,409
2001,32_16,validation_all_rates,lab,lib,1,0,0.0,1
2001,32_16,validation_all_rates,lab,natSW,1,0,0.0,1
2001,32_16,validation_all_rates,lab,oth,2,0,0.0,2
2001,32_16,validation_all_rates,lib,con,2,2,1.0,0
2001,32_16,validation_all_rates,lib,lib,43,28,0.6511627906976745,28
2001,32_16,validation_all_rates,natSW,con,1,0,0.0,1
2001,32_16,validation_all_rates,natSW,lab,1,1,1.0,0
2001,32_16,validation_all_rates,natSW,natSW,8,7,0.875,7
2001,32_16,validation_all_rates,oth,con,1,1,1.0,0
2001,32_16,validation_all_rates,oth,lab,1,0,0.0,0
2001,32_16,fixed_0.3,con,con,157,157,1.0,157
2001,32_16,fixed_0.3,con,lab,1,0,0.0,1
2001,32_16,fixed_0.3,con,lib,8,0,0.0,8
2001,32_16,fixed_0.3,lab,con,5,0,0.0,5
2001,32_16,fixed_0.3,lab,lab,409,409,1.0,409
2001,32_16,fixed_0.3,lab,lib,1,0,0.0,1
2001,32_16,fixed_0.3,lab,natSW,1,0,0.0,1
2001,32_16,fixed_0.3,lab,oth,2,0,0.0,2
2001,32_16,fixed_0.3,lib,con,2,2,1.0,0
2001,32_16,fixed_0.3,lib,lib,43,17,0.3953488372093023,17
2001,32_16,fixed_0.3,natSW,con,1,1,1.0,0
2001,32_16,fixed_0.3,natSW,lab,1,1,1.0,0
2001,32_16,fixed_0.3,natSW,natSW,8,2,0.25,2
2001,32_16,fixed_0.3,oth,con,1,1,1.0,0
2001,32_16,fixed_0.3,oth,lab,1,0,0.0,0
2001,64_32,validation_all_rates,con,con,157,156,0.9936305732484076,156
2001,64_32,validation_all_rates,con,lab,1,0,0.0,1
2001,64_32,validation_all_rates,con,lib,8,0,0.0,8
2001,64_32,validation_all_rates,lab,con,5,0,0.0,5
2001,64_32,validation_all_rates,lab,lab,409,409,1.0,409
2001,64_32,validation_all_rates,lab,lib,1,0,0.0,1
2001,64_32,validation_all_rates,lab,natSW,1,0,0.0,1
2001,64_32,validation_all_rates,lab,oth,2,0,0.0,2
2001,64_32,validation_all_rates,lib,con,2,0,0.0,2
2001,64_32,validation_all_rates,lib,lib,43,32,0.7441860465116279,32
2001,64_32,validation_all_rates,natSW,con,1,0,0.0,1
2001,64_32,validation_all_rates,natSW,lab,1,0,0.0,1
2001,64_32,validation_all_rates,natSW,natSW,8,8,1.0,8
2001,64_32,validation_all_rates,oth,con,1,1,1.0,0
2001,64_32,validation_all_rates,oth,lab,1,0,0.0,0
2001,64_32,fixed_0.3,con,con,157,157,1.0,157
2001,64_32,fixed_0.3,con,lab,1,0,0.0,1
2001,64_32,fixed_0.3,con,lib,8,0,0.0,8
2001,64_32,fixed_0.3,lab,con,5,0,0.0,5
2001,64_32,fixed_0.3,lab,lab,409,409,1.0,409
2001,64_32,fixed_0.3,lab,lib,1,0,0.0,1
2001,64_32,fixed_0.3,lab,natSW,1,0,0.0,1
2001,64_32,fixed_0.3,lab,oth,2,0,0.0,2
2001,64_32,fixed_0.3,lib,con,2,2,1.0,0
2001,64_32,fixed_0.3,lib,lib,43,15,0.3488372093023256,15
2001,64_32,fixed_0.3,natSW,con,1,1,1.0,0
2001,64_32,fixed_0.3,natSW,lab,1,1,1.0,0
2001,64_32,fixed_0.3,natSW,natSW,8,5,0.625,5
2001,64_32,fixed_0.3,oth,con,1,1,1.0,0
2001,64_32,fixed_0.3,oth,lab,1,0,0.0,0
2005,16,validation_all_rates,con,con,162,162,1.0,162
2005,16,validation_all_rates,con,lab,1,0,0.0,0
2005,16,validation_all_rates,con,lib,3,0,0.0,3
2005,16,validation_all_rates,lab,con,31,29,0.9354838709677419,2
2005,16,validation_all_rates,lab,lab,354,265,0.748587570621469,265
2005,16,validation_all_rates,lab,lib,12,1,0.08333333333333333,8
2005,16,validation_all_rates,lab,natSW,2,0,0.0,2
2005,16,validation_all_rates,lab,oth,2,0,0.0,2
2005,16,validation_all_rates,lib,con,5,5,1.0,0
2005,16,validation_all_rates,lib,lib,46,37,0.8043478260869565,37
2005,16,validation_all_rates,natSW,lib,1,0,0.0,1
2005,16,validation_all_rates,natSW,natSW,7,7,1.0,7
2005,16,validation_all_rates,oth,oth,2,0,0.0,0
2005,16,fixed_0.3,con,con,162,162,1.0,162
2005,16,fixed_0.3,con,lab,1,0,0.0,0
2005,16,fixed_0.3,con,lib,3,0,0.0,3
2005,16,fixed_0.3,lab,con,31,30,0.967741935483871,1
2005,16,fixed_0.3,lab,lab,354,265,0.748587570621469,265
2005,16,fixed_0.3,lab,lib,12,1,0.08333333333333333,8
2005,16,fixed_0.3,lab,natSW,2,0,0.0,2
2005,16,fixed_0.3,lab,oth,2,0,0.0,2
2005,16,fixed_0.3,lib,con,5,5,1.0,0
2005,16,fixed_0.3,lib,lib,46,34,0.7391304347826086,34
2005,16,fixed_0.3,natSW,lib,1,0,0.0,1
2005,16,fixed_0.3,natSW,natSW,7,7,1.0,7
2005,16,fixed_0.3,oth,oth,2,0,0.0,0
2005,32,validation_all_rates,con,con,162,162,1.0,162
2005,32,validation_all_rates,con,lab,1,0,0.0,0
2005,32,validation_all_rates,con,lib,3,0,0.0,3
2005,32,validation_all_rates,lab,con,31,29,0.9354838709677419,2
2005,32,validation_all_rates,lab,lab,354,267,0.7542372881355932,267
2005,32,validation_all_rates,lab,lib,12,1,0.08333333333333333,8
2005,32,validation_all_rates,lab,natSW,2,0,0.0,2
2005,32,validation_all_rates,lab,oth,2,0,0.0,2
2005,32,validation_all_rates,lib,con,5,5,1.0,0
2005,32,validation_all_rates,lib,lib,46,35,0.7608695652173914,35
2005,32,validation_all_rates,natSW,lib,1,0,0.0,1
2005,32,validation_all_rates,natSW,natSW,7,7,1.0,7
2005,32,validation_all_rates,oth,oth,2,0,0.0,0
2005,32,fixed_0.3,con,con,162,162,1.0,162
2005,32,fixed_0.3,con,lab,1,0,0.0,0
2005,32,fixed_0.3,con,lib,3,0,0.0,3
2005,32,fixed_0.3,lab,con,31,30,0.967741935483871,1
2005,32,fixed_0.3,lab,lab,354,257,0.7259887005649718,257
2005,32,fixed_0.3,lab,lib,12,1,0.08333333333333333,8
2005,32,fixed_0.3,lab,natSW,2,0,0.0,2
2005,32,fixed_0.3,lab,oth,2,0,0.0,2
2005,32,fixed_0.3,lib,con,5,5,1.0,0
2005,32,fixed_0.3,lib,lib,46,33,0.717391304347826,33
2005,32,fixed_0.3,natSW,lib,1,0,0.0,1
2005,32,fixed_0.3,natSW,natSW,7,7,1.0,7
2005,32,fixed_0.3,oth,oth,2,0,0.0,0
2005,32_16,validation_all_rates,con,con,162,162,1.0,162
2005,32_16,validation_all_rates,con,lab,1,0,0.0,0
2005,32_16,validation_all_rates,con,lib,3,0,0.0,3
2005,32_16,validation_all_rates,lab,con,31,29,0.9354838709677419,2
2005,32_16,validation_all_rates,lab,lab,354,256,0.7231638418079096,256
2005,32_16,validation_all_rates,lab,lib,12,1,0.08333333333333333,8
2005,32_16,validation_all_rates,lab,natSW,2,0,0.0,2
2005,32_16,validation_all_rates,lab,oth,2,0,0.0,2
2005,32_16,validation_all_rates,lib,con,5,5,1.0,0
2005,32_16,validation_all_rates,lib,lib,46,35,0.7608695652173914,35
2005,32_16,validation_all_rates,natSW,lib,1,0,0.0,1
2005,32_16,validation_all_rates,natSW,natSW,7,7,1.0,7
2005,32_16,validation_all_rates,oth,oth,2,0,0.0,0
2005,32_16,fixed_0.3,con,con,162,162,1.0,162
2005,32_16,fixed_0.3,con,lab,1,0,0.0,0
2005,32_16,fixed_0.3,con,lib,3,0,0.0,3
2005,32_16,fixed_0.3,lab,con,31,29,0.9354838709677419,2
2005,32_16,fixed_0.3,lab,lab,354,262,0.7401129943502824,262
2005,32_16,fixed_0.3,lab,lib,12,1,0.08333333333333333,8
2005,32_16,fixed_0.3,lab,natSW,2,0,0.0,2
2005,32_16,fixed_0.3,lab,oth,2,0,0.0,2
