evaluation_year,architecture,policy,previous_winner_status,party,actual_seats,predicted_seats
2001,64_32,fixed_0.3,known,natSW,9,5
2001,64_32,fixed_0.3,known,oth,2,0
2005,16,validation_all_rates,known,con,198,301
2005,16,validation_all_rates,known,lab,355,279
2005,16,validation_all_rates,known,lib,62,38
2005,16,validation_all_rates,known,natSW,9,10
2005,16,validation_all_rates,known,oth,4,0
2005,16,fixed_0.3,known,con,198,305
2005,16,fixed_0.3,known,lab,355,278
2005,16,fixed_0.3,known,lib,62,35
2005,16,fixed_0.3,known,natSW,9,10
2005,16,fixed_0.3,known,oth,4,0
2005,32,validation_all_rates,known,con,198,301
2005,32,validation_all_rates,known,lab,355,281
2005,32,validation_all_rates,known,lib,62,36
2005,32,validation_all_rates,known,natSW,9,10
2005,32,validation_all_rates,known,oth,4,0
2005,32,fixed_0.3,known,con,198,314
2005,32,fixed_0.3,known,lab,355,270
2005,32,fixed_0.3,known,lib,62,34
2005,32,fixed_0.3,known,natSW,9,10
2005,32,fixed_0.3,known,oth,4,0
2005,32_16,validation_all_rates,known,con,198,312
2005,32_16,validation_all_rates,known,lab,355,270
2005,32_16,validation_all_rates,known,lib,62,36
2005,32_16,validation_all_rates,known,natSW,9,10
2005,32_16,validation_all_rates,known,oth,4,0
2005,32_16,fixed_0.3,known,con,198,306
2005,32_16,fixed_0.3,known,lab,355,276
2005,32_16,fixed_0.3,known,lib,62,36
2005,32_16,fixed_0.3,known,natSW,9,10
2005,32_16,fixed_0.3,known,oth,4,0
2005,64_32,validation_all_rates,known,con,198,313
2005,64_32,validation_all_rates,known,lab,355,271
2005,64_32,validation_all_rates,known,lib,62,35
2005,64_32,validation_all_rates,known,natSW,9,9
2005,64_32,validation_all_rates,known,oth,4,0
2005,64_32,fixed_0.3,known,con,198,310
2005,64_32,fixed_0.3,known,lab,355,272
2005,64_32,fixed_0.3,known,lib,62,36
2005,64_32,fixed_0.3,known,natSW,9,10
2005,64_32,fixed_0.3,known,oth,4,0
2010,16,validation_all_rates,known,con,306,375
2010,16,validation_all_rates,known,lab,258,208
2010,16,validation_all_rates,known,lib,57,43
2010,16,validation_all_rates,known,natSW,9,6
2010,16,validation_all_rates,known,oth,2,0
2010,16,fixed_0.3,known,con,306,400
2010,16,fixed_0.3,known,lab,258,200
2010,16,fixed_0.3,known,lib,57,27
2010,16,fixed_0.3,known,natSW,9,5
2010,16,fixed_0.3,known,oth,2,0
2010,32,validation_all_rates,known,con,306,391
2010,32,validation_all_rates,known,lab,258,204
2010,32,validation_all_rates,known,lib,57,32
2010,32,validation_all_rates,known,natSW,9,5
2010,32,validation_all_rates,known,oth,2,0
2010,32,fixed_0.3,known,con,306,403
2010,32,fixed_0.3,known,lab,258,196
2010,32,fixed_0.3,known,lib,57,27
2010,32,fixed_0.3,known,natSW,9,6
2010,32,fixed_0.3,known,oth,2,0
2010,32_16,validation_all_rates,known,con,306,369
2010,32_16,validation_all_rates,known,lab,258,224
2010,32_16,validation_all_rates,known,lib,57,32
2010,32_16,validation_all_rates,known,natSW,9,7
2010,32_16,validation_all_rates,known,oth,2,0
2010,32_16,fixed_0.3,known,con,306,393
2010,32_16,fixed_0.3,known,lab,258,202
2010,32_16,fixed_0.3,known,lib,57,32
2010,32_16,fixed_0.3,known,natSW,9,5
2010,32_16,fixed_0.3,known,oth,2,0
2010,64_32,validation_all_rates,known,con,306,353
2010,64_32,validation_all_rates,known,lab,258,234
2010,64_32,validation_all_rates,known,lib,57,38
2010,64_32,validation_all_rates,known,natSW,9,7
2010,64_32,validation_all_rates,known,oth,2,0
