architecture,patience,policy,mean_accuracy,worst_accuracy,mean_changed_accuracy,mean_log_loss,mean_brier,mean_validation_log_loss
32_16,10,fixed_1,0.8461763283076675,0.8006329113924051,0.3761467889908257,0.5258988113983721,0.22846990468780212,0.27486417308684974
32_16,20,fixed_1,0.8461763283076675,0.8006329113924051,0.3761467889908257,0.5258988113983721,0.22846990468780212,0.27486417308684974
32_16,50,fixed_1,0.8461763283076675,0.8006329113924051,0.3761467889908257,0.5258988113983721,0.22846990468780212,0.27486417308684974
64_32,10,fixed_0.2,0.844083420677793,0.7816455696202531,0.3562154622029079,0.49545246637008566,0.23032270451094786,0.25924645037222344
64_32,10,fixed_0.05,0.8430789593915451,0.7563291139240507,0.36897097483770586,0.481575383947622,0.23596337108713913,0.2690791381008432
32_16,10,fixed_0.01,0.8400151844983741,0.7658227848101266,0.2649015505123665,0.4780378572160828,0.23688993815964357,0.2768120557405967
16,10,fixed_0.03,0.8378416512134161,0.759493670886076,0.2666317935511562,0.48835616257549086,0.24138942818152942,0.2543682942603798
16,10,fixed_0.1,0.8377879007766937,0.7579113924050633,0.3235152100434573,0.4762683109821288,0.23864198650133658,0.2523312279399533
64_32,20,fixed_0.2,0.8361216372383026,0.7816455696202531,0.3679113686356564,0.5044716678225983,0.23756008982980661,0.2581169766227635
64_32,50,fixed_0.2,0.8361216372383026,0.7816455696202531,0.3679113686356564,0.5044716678225983,0.23756008982980661,0.2581169766227635
64_32,20,fixed_0.05,0.8356479615146873,0.7563291139240507,0.36897097483770586,0.4849477194226153,0.2393693760090192,0.26820196231287724
32_16,10,fixed_0.05,0.8356143674917359,0.7800632911392406,0.32909490852513545,0.47237061692366017,0.23536042450582886,0.2648240479308533
32_16,20,fixed_0.05,0.8350835819291031,0.7800632911392406,0.340790814957884,0.47786335076663544,0.23961622446297168,0.2631775996154051
32,10,fixed_0.1,0.8335785697008787,0.7436708860759493,0.3325553946027147,0.5024207164174599,0.2501111805772716,0.26062504058668806
64_32,10,fixed_0.5,0.8335684914939933,0.7610759493670886,0.36139277858254193,0.5067086780272047,0.24527643227897747,0.2785045109715736
32,10,fixed_0.5,0.8335046628503857,0.754746835443038,0.43329846021782287,0.49960971877359794,0.2404311343767008,0.31138930188014396
32_16,10,validation_compact,0.8335013034480906,0.7800632911392406,0.3232469553087612,0.49149582474687015,0.2387168216343618,0.2538477444927916
32_16,10,fixed_0.1,0.832973877287753,0.7879746835443038,0.3114169215086646,0.48250831707684677,0.2395800365963168,0.25903529219946403
16,10,fixed_0.05,0.8325371549893843,0.7579113924050633,0.2783276999839047,0.4927974554570634,0.24579779480634603,0.2534301038753554
32_16,50,fixed_0.05,0.831898868553307,0.7800632911392406,0.340790814957884,0.485807069047872,0.24528828352076562,0.26279592411639363
32_16,10,fixed_0.5,0.8318854309441264,0.7800632911392406,0.3554106979988197,0.5087154636536025,0.24680753082877063,0.26596890429500214
32_16,20,fixed_0.5,0.8318854309441264,0.7800632911392406,0.3554106979988197,0.5087154636536025,0.24680753082877063,0.26596890429500214
32_16,50,fixed_0.5,0.8318854309441264,0.7800632911392406,0.3554106979988197,0.5087154636536025,0.24680753082877063,0.26596890429500214
64_32,20,validation_compact,0.8314050364159208,0.7626582278481012,0.35873705670905087,0.4928659967543865,0.2391002820973481,0.2532931444183488
64_32,50,validation_compact,0.8314050364159208,0.7626582278481012,0.35873705670905087,0.4928659967543865,0.2391002820973481,0.2532931444183488
64_32,50,fixed_0.05,0.8314016770136258,0.7563291139240507,0.3748189280540801,0.489771948406668,0.24339214207980345,0.2669526431602167
16,10,fixed_0.01,0.8309481577037814,0.7531645569620253,0.2783276999839047,0.4852045964558691,0.24521910178576814,0.2566345425264786
64_32,10,validation_all_rates,0.8298126797280228,0.7626582278481012,0.35288910349267666,0.49976930006341275,0.24293863379162187,0.2534238249267859
64_32,10,validation_midrange,0.8298126797280228,0.7626582278481012,0.35288910349267666,0.49976930006341275,0.24293863379162187,0.2534238249267859
64_32,10,validation_compact,0.8298126797280228,0.7626582278481012,0.35288910349267666,0.49976930006341275,0.24293863379162187,0.2534238249267859
64_32,10,fixed_0.3,0.8298126797280228,0.7626582278481012,0.35288910349267666,0.49976930006341275,0.24293863379162187,0.2534238249267859
64_32,20,fixed_0.3,0.8298126797280228,0.7626582278481012,0.35288910349267666,0.49976930006341275,0.24293863379162187,0.2534238249267859
64_32,50,fixed_0.3,0.8298126797280228,0.7626582278481012,0.35288910349267666,0.49976930006341275,0.24293863379162187,0.2534238249267859
32_16,20,validation_compact,0.829255018947029,0.7800632911392406,0.3232469553087612,0.49834896667738765,0.24418797525948618,0.2533261618995994
32_16,20,validation_all_rates,0.829255018947029,0.7800632911392406,0.3232469553087612,0.501721128692238,0.24296630404484423,0.2524699168388444
32_16,20,validation_midrange,0.829255018947029,0.7800632911392406,0.3232469553087612,0.501721128692238,0.24296630404484423,0.2524699168388444
32_16,20,fixed_0.1,0.8287275927866914,0.7879746835443038,0.3114169215086646,0.48936145900736433,0.24505119022144117,0.25851370960627174
32_16,10,validation_all_rates,0.8281934478217635,0.7800632911392406,0.3232469553087612,0.5093936288782054,0.24781175470189476,0.2528739991895761
32_16,10,validation_midrange,0.8281934478217635,0.7800632911392406,0.3232469553087612,0.5093936288782054,0.24781175470189476,0.2528739991895761
16,20,fixed_0.03,0.827756725523395,0.759493670886076,0.27526959600836953,0.49595495064117606,0.24910716205497854,0.251045309503205
16,10,fixed_0.2,0.8276928968797872,0.7705696202531646,0.32205322173936374,0.4968916771016851,0.24874586088050651,0.2489752708534451
32,10,fixed_0.01,0.8272561745814184,0.745253164556962,0.3237834647781533,0.5025772178741251,0.2525562360768787,0.26378507198119744
64_32,10,fixed_1,0.826661560375178,0.7674050632911392,0.3647191372927732,0.5586004531753984,0.24977680476455558,0.2746375049996263
64_32,20,fixed_1,0.826661560375178,0.7674050632911392,0.3647191372927732,0.5586004531753984,0.24977680476455558,0.2746375049996263
64_32,50,fixed_1,0.826661560375178,0.7674050632911392,0.3647191372927732,0.5586004531753984,0.24977680476455558,0.2746375049996263
64_32,20,validation_all_rates,0.8266279663522266,0.7626582278481012,0.35873705670905087,0.5033950083766506,0.24605230941201964,0.25248805298824256
64_32,20,validation_midrange,0.8266279663522266,0.7626582278481012,0.35873705670905087,0.5033950083766506,0.24605230941201964,0.25248805298824256
64_32,50,validation_all_rates,0.8266279663522266,0.7626582278481012,0.35873705670905087,0.5033950083766506,0.24605230941201964,0.25248805298824256
64_32,50,validation_midrange,0.8266279663522266,0.7626582278481012,0.35873705670905087,0.5033950083766506,0.24605230941201964,0.25248805298824256
64_32,selected,validation_rate_and_patience,0.8266279663522266,0.7626582278481012,0.35873705670905087,0.5033950083766506,0.24605230941201964,0.25248805298824256
32_16,20,fixed_0.2,0.826611169340751,0.7927215189873418,0.3131471645474542,0.5089381919886771,0.2526493149575195,0.25618516527944957
32_16,50,fixed_0.2,0.826611169340751,0.7927215189873418,0.3131471645474542,0.5089381919886771,0.2526493149575195,0.25618516527944957
32_16,10,fixed_0.03,0.8261005401918892,0.7784810126582279,0.31447502548419975,0.48662393842542545,0.2467001767908511,0.2634724633296475
32_16,50,validation_compact,0.8260703055712328,0.7800632911392406,0.3290949085251355,0.5164430005566737,0.25584722927663345,0.25285281967327183
32_16,50,validation_all_rates,0.8260703055712328,0.7800632911392406,0.3290949085251355,0.5198151625715239,0.25462555806199155,0.2519965746125169
32_16,50,validation_midrange,0.8260703055712328,0.7800632911392406,0.3290949085251355,0.5198151625715239,0.25462555806199155,0.2519965746125169
32_16,selected,validation_rate_and_patience,0.8260703055712328,0.7800632911392406,0.3290949085251355,0.5198151625715239,0.25462555806199155,0.2519965746125169
16,10,fixed_1,0.8260602273643474,0.7721518987341772,0.37043296314179947,0.5091955996082101,0.24761262125492212,0.2786995400193572
32_16,50,fixed_0.1,0.8255428794108952,0.7879746835443038,0.3172648747250389,0.5074554928866504,0.25671044423858846,0.25804036737994424
32_16,10,fixed_0.3,0.8255395200086001,0.7800632911392406,0.3232469553087612,0.5212214885603542,0.2585339817248142,0.25446322337265037
32_16,20,fixed_0.3,0.8255395200086001,0.7800632911392406,0.3232469553087612,0.5212214885603542,0.2585339817248142,0.25446322337265037
32_16,50,fixed_0.3,0.8255395200086001,0.7800632911392406,0.3232469553087612,0.5212214885603542,0.2585339817248142,0.25446322337265037
16,10,fixed_0.3,0.8250120938482626,0.7705696202531646,0.3673748591662643,0.5052367092887776,0.25096772592897326,0.25636036739173657
16,20,fixed_0.3,0.8250120938482626,0.7705696202531646,0.3673748591662643,0.5052367092887776,0.25096772592897326,0.25636036739173657
16,50,fixed_0.3,0.8250120938482626,0.7705696202531646,0.3673748591662643,0.5052367092887776,0.25096772592897326,0.25636036739173657
64_32,10,fixed_0.01,0.8246291219866162,0.7610759493670886,0.3294972906271796,0.5035901587830899,0.24750937591823371,0.2756290627362685
32,10,fixed_0.3,0.8244981052971055,0.7515822784810127,0.41429261226460645,0.528597619059986,0.26423724865056347,0.27703615880888105
32,20,fixed_0.3,0.8244981052971055,0.7515822784810127,0.41429261226460645,0.528597619059986,0.26423724865056347,0.27703615880888105
32,50,fixed_0.3,0.8244981052971055,0.7515822784810127,0.41429261226460645,0.528597619059986,0.26423724865056347,0.27703615880888105
32,10,fixed_1,0.8244846676879249,0.7658227848101266,0.3718949514458931,0.5036569964401858,0.24502830121797878,0.2915416967724092
32,20,fixed_1,0.8244846676879249,0.7658227848101266,0.3718949514458931,0.5036569964401858,0.24502830121797878,0.2915416967724092
32,50,fixed_1,0.8244846676879249,0.7658227848101266,0.3718949514458931,0.5036569964401858,0.24502830121797878,0.2915416967724092
32,20,fixed_0.5,0.8244813082856298,0.754746835443038,0.44499436665057135,0.5202528626344733,0.2552671428911655,0.3084565231687187
32,50,fixed_0.5,0.8244813082856298,0.754746835443038,0.44499436665057135,0.5202528626344733,0.2552671428911655,0.3084565231687187
64_32,10,fixed_0.03,0.8235440350452848,0.759493670886076,0.32511132571489887,0.4986145528708789,0.24682154909026466,0.2701689580026468
32_16,20,fixed_0.03,0.8234432529764305,0.7800632911392406,0.3203229787005741,0.506856066012214,0.2559312202649553,0.2605517333767192
32_16,50,fixed_0.03,0.8234432529764305,0.7800632911392406,0.3203229787005741,0.506856066012214,0.2559312202649553,0.2605517333767192
16,10,validation_compact,0.8234298153672498,0.7705696202531646,0.3410590696925801,0.5153883751304164,0.2572492566387113,0.24512190700086212
16,20,validation_compact,0.8234298153672498,0.7705696202531646,0.3410590696925801,0.5153883751304164,0.2572492566387113,0.24512190700086212
16,50,validation_compact,0.8234298153672498,0.7705696202531646,0.3410590696925801,0.5153883751304164,0.2572492566387113,0.24512190700086212
16,50,fixed_0.1,0.8234230965626596,0.7737341772151899,0.34438542840281133,0.5005181771301206,0.2563279949614337,0.24876918039527773
16,20,fixed_1,0.8228755139885512,0.7721518987341772,0.382128869574548,0.5423464373509618,0.26761425209725914,0.27802335216535007
16,50,fixed_1,0.8228755139885512,0.7721518987341772,0.382128869574548,0.5423464373509618,0.26761425209725914,0.27802335216535007
16,10,fixed_0.5,0.8223514472305088,0.7642405063291139,0.4024625784645099,0.5069274250087038,0.2583146981547336,0.2739970999637717
16,20,fixed_0.5,0.8223514472305088,0.7642405063291139,0.4024625784645099,0.5069274250087038,0.2583146981547336,0.2739970999637717
16,50,fixed_0.5,0.8223514472305088,0.7642405063291139,0.4024625784645099,0.5069274250087038,0.2583146981547336,0.2739970999637717
32_16,10,fixed_0.2,0.8213369077373754,0.7768987341772152,0.3070309565963839,0.5080698771464519,0.2586183292722813,0.2565257760984024
16,10,validation_midrange,0.8207926845655621,0.7705696202531646,0.32790117495573795,0.5215152888100377,0.2612432386127682,0.24464306032112793
64_32,20,fixed_0.5,0.8202988524281759,0.7610759493670886,0.3672407317989162,0.5274337307151125,0.2612452175172483,0.2760943530326265
64_32,50,fixed_0.5,0.8202988524281759,0.7610759493670886,0.3672407317989162,0.5274337307151125,0.2612452175172483,0.2760943530326265
64_32,20,fixed_0.03,0.8198285361068559,0.759493670886076,0.32511132571489887,0.5004974360104467,0.24852933134076757,0.2697838357595831
16,50,fixed_0.2,0.8197243946357063,0.7737341772151899,0.34013359085787864,0.522710302960738,0.2642516955206112,0.24611474767648886
16,20,fixed_0.01,0.8192406407052056,0.7674050632911392,0.2930817103921884,0.5147322318424131,0.2627283402963707,0.25061849754272963
64_32,20,fixed_0.01,0.8187904807976564,0.7610759493670886,0.3294972906271796,0.5052984617657564,0.2493630797055102,0.2744928437233311
16,20,fixed_0.2,0.8186695423150313,0.7705696202531646,0.32790117495573795,0.5237312660134342,0.2677828746241768,0.24724566623125907
