constituency_name,country/region,election,majority_proportion,winner,constituency_id,boundary_set,election_type,con_share,lab_share,lib_share,natSW_share,previous_election
Newcastle upon Tyne Central and West,North East,2024,0.45641397654455323,lab,E14001377,2023-current,actual,0.10223673074597993,0.45641397654455323,0.04705597872083182,0.0,2019_notional
Newcastle upon Tyne East and Wallsend,North East,2024,0.5009333427849059,lab,E14001378,2023-current,actual,0.083221095909832,0.5009333427849059,0.0700597811960965,0.0,2019_notional
Newcastle upon Tyne North,North East,2024,0.502704815188103,lab,E14001379,2023-current,actual,0.13735935989468703,0.502704815188103,0.12209720879527737,0.0,2019_notional
Newcastle-under-Lyme,West Midlands,2024,0.40365490433641277,lab,E14001380,2023-current,actual,0.27570801150991975,0.40365490433641277,0.050153970417487,0.0,2019_notional
Newport East,Wales,2024,0.4248527159949132,lab,W07000104,2023-current,actual,0.1683579455503361,0.4248527159949132,0.05307414808855208,0.05810905504658587,2019_notional
Newport West and Islwyn,Wales,2024,0.41498414817286833,lab,W07000105,2023-current,actual,0.15994851135848967,0.41498414817286833,0.049748516125956474,0.08412195180091059,2019_notional
Newton Abbot,South West,2024,0.31674029004834137,lib,E14001381,2023-current,actual,0.2699408234705784,0.148253875645941,0.31674029004834137,0.0,2019_notional
Newton Aycliffe and Spennymoor,North East,2024,0.461627264970135,lab,E14001382,2023-current,actual,0.20566681724639863,0.461627264970135,0.037419063394067156,0.0,2019_notional
Normanton and Hemsworth,Yorkshire and The Humber,2024,0.47525378965033427,lab,E14001383,2023-current,actual,0.1374178106687942,0.47525378965033427,0.036287105559987896,0.0,2019_notional
North Ayrshire and Arran,Scotland,2024,0.39801713122900007,lab,S14000048,2023-current,actual,0.14088306279873172,0.39801713122900007,0.023780228100894422,0.3139936586058398,2019_notional
North Bedfordshire,East of England,2024,0.3875215763852524,con,E14001384,2023-current,actual,0.3875215763852524,0.28251973390741064,0.10769767847791936,0.0,2019_notional
North Cornwall,South West,2024,0.47017269977558784,lib,E14001385,2023-current,actual,0.2758708166650405,0.0577227046541126,0.47017269977558784,0.0,2019_notional
North Cotswolds,South West,2024,0.34693105576459815,con,E14001386,2023-current,actual,0.34693105576459815,0.17107646976846044,0.2800971550299628,0.0,2019_notional
North Devon,South West,2024,0.42437326176167417,lib,E14001387,2023-current,actual,0.2932104167882218,0.06254740649979579,0.42437326176167417,0.0,2019_notional
North Dorset,South West,2024,0.3664835054243906,con,E14001388,2023-current,actual,0.3664835054243906,0.08795765151057706,0.33450073465773,0.0,2019_notional
North Durham,North East,2024,0.39846024299290267,lab,E14001389,2023-current,actual,0.15618910140743414,0.39846024299290267,0.10123902321664863,0.0,2019_notional
North East Cambridgeshire,East of England,2024,0.41469266898100876,con,E14001390,2023-current,actual,0.41469266898100876,0.20441086379415968,0.06932816009801919,0.0,2019_notional
