constituency_name,country/region,election,majority_proportion,winner,constituency_id,boundary_set,election_type,con_share,lib_share,lab_share,natSW_share,previous_election
Aldershot,South East,2005_notional,0.44025546,con,E14000530,2010-2017,notional,0.44025546,0.28904724,0.21717268,,2001
Aldridge-Brownhills,West Midlands,2005_notional,0.48208883,con,E14000531,2010-2017,notional,0.48208883,0.11902961,0.32723686,,2001
Altrincham and Sale West,North West,2005_notional,0.47014323,con,E14000532,2010-2017,notional,0.47014323,0.2188574,0.2944392,,2001
Amber Valley,East Midlands,2005_notional,0.46453506,lab,E14000533,2010-2017,notional,0.33918542,0.12384872,0.46453506,,2001
Arundel and South Downs,South East,2005_notional,0.5030803,con,E14000534,2010-2017,notional,0.5030803,0.2649657,0.173331,,2001
Ashfield,East Midlands,2005_notional,0.4870174,lab,E14000535,2010-2017,notional,0.2442228,0.13837186,0.4870174,,2001
Ashford,South East,2005_notional,0.5144285,con,E14000536,2010-2017,notional,0.5144285,0.15597023,0.26423982,,2001
Ashton-under-Lyne,North West,2005_notional,0.58480483,lab,E14000537,2010-2017,notional,0.20146957,0.11666473,0.58480483,,2001
Aylesbury,South East,2005_notional,0.4834983,con,E14000538,2010-2017,notional,0.4834983,0.28857544,0.18270096,,2001
Banbury,South East,2005_notional,0.46884605,con,E14000539,2010-2017,notional,0.46884605,0.17500232,0.28089783,,2001
Barking,London,2005_notional,0.49613518,lab,E14000540,2010-2017,notional,0.1657129,0.10775406,0.49613518,,2001
Barnsley Central,Yorkshire and The Humber,2005_notional,0.57626957,lab,E14000541,2010-2017,notional,0.14719875,0.19309318,0.57626957,,2001
Barnsley East,Yorkshire and The Humber,2005_notional,0.7097336,lab,E14000542,2010-2017,notional,0.12689818,0.14034106,0.7097336,,2001
Barrow and Furness,North West,2005_notional,0.45165047,lab,E14000543,2010-2017,notional,0.32626536,0.17786407,0.45165047,,2001
Basildon and Billericay,East of England,2005_notional,0.46007922,con,E14000544,2010-2017,notional,0.46007922,0.1322737,0.3479074,,2001
Basingstoke,South East,2005_notional,0.3882225,con,E14000545,2010-2017,notional,0.3882225,0.2191071,0.32550216,,2001
Bassetlaw,East Midlands,2005_notional,0.5298305,lab,E14000546,2010-2017,notional,0.35065216,0.11951733,0.5298305,,2001
Bath,South West,2005_notional,0.45446873,lib,E14000547,2010-2017,notional,0.31883952,0.45446873,0.14406984,,2001
Batley and Spen,Yorkshire and The Humber,2005_notional,0.4525523,lab,E14000548,2010-2017,notional,0.31711516,0.15394242,0.4525523,,2001
