constituency_name,country/region,election,majority_proportion,winner,constituency_id,boundary_set,election_type,con_share,lib_share,lab_share,natSW_share,previous_election
Bolton West,North West,2019_notional,0.5654327,con,E14001112,2023-current,notional,0.5654327,0.056449026,0.35249057,,2017
Bootle,North West,2019_notional,0.7944442,lab,E14001113,2023-current,notional,0.091715135,0.037052102,0.7944442,,2017
Boston and Skegness,East Midlands,2019_notional,0.7642721,con,E14001114,2023-current,notional,0.7642721,0.048425075,0.1555822,,2017
Bournemouth East,South West,2019_notional,0.50593984,con,E14001115,2023-current,notional,0.50593984,0.1098362,0.32719752,,2017
Bournemouth West,South West,2019_notional,0.535758,con,E14001116,2023-current,notional,0.535758,0.100607626,0.31847787,,2017
Bracknell,South East,2019_notional,0.55498207,con,E14001117,2023-current,notional,0.55498207,0.13980123,0.253647,,2017
Bradford East,Yorkshire and The Humber,2019_notional,0.62982154,lab,E14001118,2023-current,notional,0.21712054,0.07672646,0.62982154,,2017
Bradford South,Yorkshire and The Humber,2019_notional,0.46736285,lab,E14001119,2023-current,notional,0.4006212,0.037149355,0.46736285,,2017
Bradford West,Yorkshire and The Humber,2019_notional,0.762206,lab,E14001120,2023-current,notional,0.15175888,0.030478299,0.762206,,2017
Braintree,East of England,2019_notional,0.67465895,con,E14001121,2023-current,notional,0.67465895,0.09701016,0.1818481,,2017
Brent East,London,2019_notional,0.6383897,lab,E14001122,2023-current,notional,0.23500012,0.09023786,0.6383897,,2017
Brent West,London,2019_notional,0.5328155,lab,E14001123,2023-current,notional,0.33798832,0.09106121,0.5328155,,2017
Brentford and Isleworth,London,2019_notional,0.5033033,lab,E14001124,2023-current,notional,0.28303787,0.16322774,0.5033033,,2017
Brentwood and Ongar,East of England,2019_notional,0.68543625,con,E14001125,2023-current,notional,0.68543625,0.13592473,0.13685247,,2017
Bridgwater,South West,2019_notional,0.5790152,con,E14001126,2023-current,notional,0.5790152,0.176251,0.20740378,,2017
Bridlington and The Wolds,Yorkshire and The Humber,2019_notional,0.6657192,con,E14001127,2023-current,notional,0.6657192,0.07491387,0.19877261,,2017
Brigg and Immingham,Yorkshire and The Humber,2019_notional,0.71942,con,E14001128,2023-current,notional,0.71942,0.043750662,0.20203196,,2017
Brighton Kemptown and Peacehaven,South East,2019_notional,0.5118147,lab,E14001129,2023-current,notional,0.34430507,0.059963584,0.5118147,,2017
Brighton Pavilion,South East,2019_notional,0.22670355,lab,E14001130,2023-current,notional,0.17738743,,0.22670355,,2017
Bristol Central,South West,2019_notional,0.5848484,lab,E14001131,2023-current,notional,0.14342661,,0.5848484,,2017
Bristol East,South West,2019_notional,0.583873,lab,E14001132,2023-current,notional,0.23309699,0.069457,0.583873,,2017
Bristol North East,South West,2019_notional,0.50297517,lab,E14001133,2023-current,notional,0.39124835,0.05099683,0.50297517,,2017
Bristol North West,South West,2019_notional,0.48877665,lab,E14001134,2023-current,notional,0.36490026,0.081071824,0.48877665,,2017
Bristol South,South West,2019_notional,0.51622194,lab,E14001135,2023-current,notional,0.32816774,0.062401593,0.51622194,,2017
Broadland and Fakenham,East of England,2019_notional,0.59149086,con,E14001136,2023-current,notional,0.59149086,0.16056348,0.21611694,,2017
Bromley and Biggin Hill,London,2019_notional,0.54445755,con,E14001137,2023-current,notional,0.54445755,0.15977007,0.25133514,,2017
Bromsgrove,West Midlands,2019_notional,0.6339917,con,E14001138,2023-current,notional,0.6339917,0.12490787,0.20824735,,2017
Broxbourne,East of England,2019_notional,0.6424122,con,E14001139,2023-current,notional,0.6424122,0.09002622,0.23985317,,2017
Broxtowe,East Midlands,2019_notional,0.4516607,con,E14001140,2023-current,notional,0.4516607,0.005063671,0.38003787,,2017
Buckingham and Bletchley,South East,2019_notional,0.5305556,con,E14001141,2023-current,notional,0.5305556,0.1543082,0.2768918,,2017
Burnley,North West,2019_notional,0.40456882,con,E14001142,2023-current,notional,0.40456882,0.0767271,0.40187255,,2017
Burton and Uttoxeter,West Midlands,2019_notional,0.60650826,con,E14001143,2023-current,notional,0.60650826,0.05500841,0.3090812,,2017
Bury North,North West,2019_notional,0.472882,con,E14001144,2023-current,notional,0.472882,0.030652702,0.44890592,,2017
Bury South,North West,2019_notional,0.43466172,con,E14001145,2023-current,notional,0.43466172,0.06163114,0.41582382,,2017
Bury St Edmunds and Stowmarket,East of England,2019_notional,0.62923723,con,E14001146,2023-current,notional,0.62923723,0.010765801,0.20841828,,2017
Calder Valley,Yorkshire and The Humber,2019_notional,0.5135331,con,E14001147,2023-current,notional,0.5135331,0.050625287,0.4230701,,2017
Camborne and Redruth,South West,2019_notional,0.53257984,con,E14001148,2023-current,notional,0.53257984,0.08472112,0.3416568,,2017
Cambridge,East of England,2019_notional,0.47446722,lab,E14001149,2023-current,notional,0.14764777,0.31164053,0.47446722,,2017
Cannock Chase,West Midlands,2019_notional,0.68309116,con,E14001150,2023-current,notional,0.68309116,,0.2538596,,2017
Canterbury,South East,2019_notional,0.48598817,lab,E14001151,2023-current,notional,0.44820347,0.056974426,0.48598817,,2017
Carlisle,North West,2019_notional,0.5651639,con,E14001152,2023-current,notional,0.5651639,0.049960967,0.34482825,,2017
Carshalton and Wallington,London,2019_notional,0.4240906,con,E14001153,2023-current,notional,0.4240906,0.41127947,0.12385433,,2017
Castle Point,East of England,2019_notional,0.7654422,con,E14001154,2023-current,notional,0.7654422,0.06643519,0.1681226,,2017
Central Devon,South West,2019_notional,0.5529582,con,E14001155,2023-current,notional,0.5529582,0.14990127,0.24797264,,2017
Central Suffolk and North Ipswich,East of England,2019_notional,0.61933666,con,E14001156,2023-current,notional,0.61933666,0.10642307,0.21838054,,2017
Chatham and Aylesford,South East,2019_notional,0.658888,con,E14001157,2023-current,notional,0.658888,0.067344844,0.24429697,,2017
Cheadle,North West,2019_notional,0.45961756,con,E14001158,2023-current,notional,0.45961756,0.41783088,0.12255156,,2017
Chelmsford,East of England,2019_notional,0.5470776,con,E14001159,2023-current,notional,0.5470776,0.26067328,0.18147364,,2017
Chelsea and Fulham,London,2019_notional,0.45470145,con,E14001160,2023-current,notional,0.45470145,0.23827605,0.2905387,,2017
Cheltenham,South West,2019_notional,0.48455602,con,E14001161,2023-current,notional,0.48455602,0.4595749,0.04804599,,2017
Chesham and Amersham,South East,2019_notional,0.56346,con,E14001162,2023-current,notional,0.56346,0.22431159,0.13913351,,2017
Chester North and Neston,North West,2019_notional,0.5032453,lab,E14001163,2023-current,notional,0.38472664,0.06188339,0.5032453,,2017
Chester South and Eddisbury,North West,2019_notional,0.59234905,con,E14001164,2023-current,notional,0.59234905,0.15298231,0.21512797,,2017
Chesterfield,East Midlands,2019_notional,0.40213782,lab,E14001165,2023-current,notional,0.3700261,0.08819103,0.40213782,,2017
Chichester,South East,2019_notional,0.5876093,con,E14001166,2023-current,notional,0.5876093,0.20303006,0.1538552,,2017
Chingford and Woodford Green,London,2019_notional,0.48203495,con,E14001167,2023-current,notional,0.48203495,0.058473427,0.4526609,,2017
Chippenham,South West,2019_notional,0.56384724,con,E14001168,2023-current,notional,0.56384724,0.30255944,0.11670856,,2017
Chipping Barnet,London,2019_notional,0.47545445,con,E14001169,2023-current,notional,0.47545445,0.09833624,0.40340966,,2017
Christchurch,South West,2019_notional,0.65594524,con,E14001171,2023-current,notional,0.65594524,0.17350164,0.12865677,,2017
Cities of London and Westminster,London,2019_notional,0.40333104,con,E14001172,2023-current,notional,0.40333104,0.28231254,0.28866374,,2017
City of Durham,North East,2019_notional,0.40938604,lab,E14001173,2023-current,notional,0.31858683,0.16935405,0.40938604,,2017
Clacton,East of England,2019_notional,0.7187589,con,E14001174,2023-current,notional,0.7187589,0.06194574,0.15564169,,2017
Clapham and Brixton Hill,London,2019_notional,0.55362725,lab,E14001175,2023-current,notional,0.19495393,0.19807945,0.55362725,,2017
Colchester,East of England,2019_notional,0.523375,con,E14001176,2023-current,notional,0.523375,0.14684972,0.30052352,,2017
Colne Valley,Yorkshire and The Humber,2019_notional,0.51225734,con,E14001177,2023-current,notional,0.51225734,0.070124604,0.36232975,,2017
Congleton,North West,2019_notional,0.60640794,con,E14001178,2023-current,notional,0.60640794,0.110834524,0.24098127,,2017
Corby and East Northamptonshire,East Midlands,2019_notional,0.5463537,con,E14001179,2023-current,notional,0.5463537,0.06828725,0.38535908,,2017
Coventry East,West Midlands,2019_notional,0.52099144,lab,E14001180,2023-current,notional,0.35024834,0.054048356,0.52099144,,2017
Coventry North West,West Midlands,2019_notional,0.43812835,lab,E14001181,2023-current,notional,0.4337718,0.056907672,0.43812835,,2017
Coventry South,West Midlands,2019_notional,0.44268775,lab,E14001182,2023-current,notional,0.42542464,0.067343235,0.44268775,,2017
Cramlington and Killingworth,North East,2019_notional,0.44373024,lab,E14001183,2023-current,notional,0.39886004,0.05242137,0.44373024,,2017
Crawley,South East,2019_notional,0.5418946,con,E14001184,2023-current,notional,0.5418946,0.054670434,0.3743562,,2017
Crewe and Nantwich,North West,2019_notional,0.50822777,con,E14001185,2023-current,notional,0.50822777,0.051259063,0.39236194,,2017
Croydon East,London,2019_notional,0.48081863,lab,E14001186,2023-current,notional,0.41339734,0.06599897,0.48081863,,2017
Croydon South,London,2019_notional,0.5447597,con,E14001187,2023-current,notional,0.5447597,0.13528118,0.28131017,,2017
Croydon West,London,2019_notional,0.66707915,lab,E14001188,2023-current,notional,0.21510045,0.069675356,0.66707915,,2017
Dagenham and Rainham,London,2019_notional,0.44726315,lab,E14001189,2023-current,notional,0.43121478,0.03041462,0.44726315,,2017
Darlington,North East,2019_notional,0.49661994,con,E14001190,2023-current,notional,0.49661994,0.046197705,0.38932204,,2017
Dartford,South East,2019_notional,0.61118996,con,E14001191,2023-current,notional,0.61118996,0.06993203,0.2948933,,2017
Daventry,East Midlands,2019_notional,0.64497155,con,E14001192,2023-current,notional,0.64497155,0.1312241,0.17773369,,2017
Derby North,East Midlands,2019_notional,0.4521556,con,E14001193,2023-current,notional,0.4521556,0.07337771,0.3981326,,2017
Derby South,East Midlands,2019_notional,0.51080966,lab,E14001194,2023-current,notional,0.36905938,0.061725777,0.51080966,,2017
Derbyshire Dales,East Midlands,2019_notional,0.5900241,con,E14001195,2023-current,notional,0.5900241,0.12757277,0.2414797,,2017
Dewsbury and Batley,Yorkshire and The Humber,2019_notional,0.5908982,lab,E14001196,2023-current,notional,0.28702196,0.025075378,0.5908982,,2017
Didcot and Wantage,South East,2019_notional,0.49764472,con,E14001197,2023-current,notional,0.49764472,0.31321532,0.16023259,,2017
Doncaster Central,Yorkshire and The Humber,2019_notional,0.39363205,lab,E14001198,2023-current,notional,0.3660274,0.040918272,0.39363205,,2017
Doncaster East and the Isle of Axholme,Yorkshire and The Humber,2019_notional,0.52130723,con,E14001199,2023-current,notional,0.52130723,0.044378422,0.2872296,,2017
Doncaster North,Yorkshire and The Humber,2019_notional,0.38322935,lab,E14001200,2023-current,notional,0.33156976,0.03608685,0.38322935,,2017
Dorking and Horley,South East,2019_notional,0.51166165,con,E14001201,2023-current,notional,0.51166165,0.32116708,0.09936691,,2017
Dover and Deal,South East,2019_notional,0.56872475,con,E14001202,2023-current,notional,0.56872475,0.05717132,0.32611287,,2017
Droitwich and Evesham,West Midlands,2019_notional,0.6569493,con,E14001203,2023-current,notional,0.6569493,0.120328724,0.170491,,2017
Dudley,West Midlands,2019_notional,0.6315839,con,E14001204,2023-current,notional,0.6315839,0.037893143,0.30927908,,2017
Dulwich and West Norwood,London,2019_notional,0.644691,lab,E14001205,2023-current,notional,0.1664176,0.009637123,0.644691,,2017
Dunstable and Leighton Buzzard,East of England,2019_notional,0.58713484,con,E14001206,2023-current,notional,0.58713484,0.107934535,0.26838616,,2017
Ealing Central and Acton,London,2019_notional,0.52292156,lab,E14001207,2023-current,notional,0.2561857,0.1734642,0.52292156,,2017
Ealing North,London,2019_notional,0.5631819,lab,E14001208,2023-current,notional,0.3189853,0.08840538,0.5631819,,2017
Ealing Southall,London,2019_notional,0.5974548,lab,E14001209,2023-current,notional,0.23928389,0.09794502,0.5974548,,2017
Earley and Woodley,South East,2019_notional,0.48761496,con,E14001210,2023-current,notional,0.48761496,0.21809822,0.26666015,,2017
Easington,North East,2019_notional,0.467627,lab,E14001211,2023-current,notional,0.2705782,0.041407347,0.467627,,2017
East Grinstead and Uckfield,South East,2019_notional,0.5846831,con,E14001212,2023-current,notional,0.5846831,0.23013751,0.13573064,,2017
East Ham,London,2019_notional,0.7777848,lab,E14001213,2023-current,notional,0.14572354,0.03566364,0.7777848,,2017
East Hampshire,South East,2019_notional,0.5900323,con,E14001214,2023-current,notional,0.5900323,0.21716659,0.12297185,,2017
East Surrey,South East,2019_notional,0.603458,con,E14001215,2023-current,notional,0.603458,0.20394365,0.1318504,,2017
East Thanet,South East,2019_notional,0.534513,con,E14001216,2023-current,notional,0.534513,0.0518738,0.37624153,,2017
East Wiltshire,South West,2019_notional,0.65936553,con,E14001217,2023-current,notional,0.65936553,0.14493345,0.15877357,,2017
East Worthing and Shoreham,South East,2019_notional,0.5102206,con,E14001218,2023-current,notional,0.5102206,0.07768032,0.3695415,,2017
Eastbourne,South East,2019_notional,0.47088316,con,E14001219,2023-current,notional,0.47088316,0.42858815,0.06945122,,2017
Eastleigh,South East,2019_notional,0.5186597,con,E14001220,2023-current,notional,0.5186597,0.34434763,0.11655773,,2017
Edmonton and Winchmore Hill,London,2019_notional,0.5819015,lab,E14001221,2023-current,notional,0.31106597,0.06734098,0.5819015,,2017
Ellesmere Port and Bromborough,North West,2019_notional,0.5929538,lab,E14001222,2023-current,notional,0.27056795,0.0741994,0.5929538,,2017
Eltham and Chislehurst,London,2019_notional,0.46853408,con,E14001223,2023-current,notional,0.46853408,0.07489185,0.40111965,,2017
Ely and East Cambridgeshire,East of England,2019_notional,0.5395208,con,E14001224,2023-current,notional,0.5395208,0.29259157,0.14367025,,2017
Enfield North,London,2019_notional,0.53343964,lab,E14001225,2023-current,notional,0.3591954,0.06532436,0.53343964,,2017
Epping Forest,East of England,2019_notional,0.64382905,con,E14001226,2023-current,notional,0.64382905,0.10716559,0.20273335,,2017
Epsom and Ewell,South East,2019_notional,0.53577715,con,E14001227,2023-current,notional,0.53577715,0.24210325,0.16817953,,2017
Erewash,East Midlands,2019_notional,0.5645921,con,E14001228,2023-current,notional,0.5645921,0.050948497,0.34731838,,2017
Erith and Thamesmead,London,2019_notional,0.58352095,lab,E14001229,2023-current,notional,0.28207034,0.04918185,0.58352095,,2017
Esher and Walton,South East,2019_notional,0.49519384,con,E14001230,2023-current,notional,0.49519384,0.44152516,0.048025917,,2017
Exeter,South West,2019_notional,0.5479962,lab,E14001231,2023-current,notional,0.32077423,0.00016543281,0.5479962,,2017
Exmouth and Exeter East,South West,2019_notional,0.49842384,con,E14001232,2023-current,notional,0.49842384,0.03028729,0.10528012,,2017
Fareham and Waterlooville,South East,2019_notional,0.61175513,con,E14001233,2023-current,notional,0.61175513,0.18942793,0.15782683,,2017
Farnham and Bordon,South East,2019_notional,0.5939657,con,E14001234,2023-current,notional,0.5939657,0.328484,0.06818404,,2017
Faversham and Mid Kent,South East,2019_notional,0.6260915,con,E14001235,2023-current,notional,0.6260915,0.124670744,0.19846521,,2017
Feltham and Heston,London,2019_notional,0.51723903,lab,E14001236,2023-current,notional,0.35788345,0.066244334,0.51723903,,2017
Filton and Bradley Stoke,South West,2019_notional,0.51001066,con,E14001237,2023-current,notional,0.51001066,0.100067966,0.35772404,,2017
Finchley and Golders Green,London,2019_notional,0.43793762,con,E14001238,2023-current,notional,0.43793762,0.3183065,0.24362954,,2017
Folkestone and Hythe,South East,2019_notional,0.56316555,con,E14001239,2023-current,notional,0.56316555,0.100033484,0.26761916,,2017
Forest of Dean,South West,2019_notional,0.5960175,con,E14001240,2023-current,notional,0.5960175,,0.28773192,,2017
Frome and East Somerset,South West,2019_notional,0.4929331,con,E14001241,2023-current,notional,0.4929331,0.23454243,0.21171565,,2017
Fylde,North West,2019_notional,0.62234586,con,E14001242,2023-current,notional,0.62234586,0.07345949,0.25169885,,2017
Gainsborough,East Midlands,2019_notional,0.6630023,con,E14001243,2023-current,notional,0.6630023,0.10357884,0.21163633,,2017
Gateshead Central and Whickham,North East,2019_notional,0.4708836,lab,E14001244,2023-current,notional,0.33021584,0.1222722,0.4708836,,2017
Gedling,East Midlands,2019_notional,0.47203326,con,E14001245,2023-current,notional,0.47203326,0.044898335,0.42754158,,2017
Gillingham and Rainham,South East,2019_notional,0.61301625,con,E14001246,2023-current,notional,0.61301625,0.054462772,0.28404194,,2017
Glastonbury and Somerton,South West,2019_notional,0.57536566,con,E14001247,2023-current,notional,0.57536566,0.3087378,0.09578148,,2017
Gloucester,South West,2019_notional,0.5458086,con,E14001248,2023-current,notional,0.5458086,0.07672284,0.35243577,,2017
Godalming and Ash,South East,2019_notional,0.5339656,con,E14001249,2023-current,notional,0.5339656,0.3414161,0.08916191,,2017
Goole and Pocklington,Yorkshire and The Humber,2019_notional,0.65112925,con,E14001250,2023-current,notional,0.65112925,0.07779403,0.20420432,,2017
Gorton and Denton,North West,2019_notional,0.67238367,lab,E14001251,2023-current,notional,0.18850921,0.058283146,0.67238367,,2017
Gosport,South East,2019_notional,0.66509813,con,E14001252,2023-current,notional,0.66509813,0.112954825,0.1846738,,2017
Grantham and Bourne,East Midlands,2019_notional,0.65815115,con,E14001253,2023-current,notional,0.65815115,0.09021125,0.19976664,,2017
Gravesham,South East,2019_notional,0.6219512,con,E14001254,2023-current,notional,0.6219512,0.05433137,0.29434398,,2017
Great Grimsby and Cleethorpes,Yorkshire and The Humber,2019_notional,0.55616075,con,E14001255,2023-current,notional,0.55616075,0.049238153,0.3219916,,2017
Great Yarmouth,East of England,2019_notional,0.6578851,con,E14001256,2023-current,notional,0.6578851,0.038217295,0.25148407,,2017
Greenwich and Woolwich,London,2019_notional,0.55012673,lab,E14001257,2023-current,notional,0.22729193,0.14579637,0.55012673,,2017
Guildford,South East,2019_notional,0.45085958,con,E14001258,2023-current,notional,0.45085958,0.391583,0.083884835,,2017
Hackney North and Stoke Newington,London,2019_notional,0.6981852,lab,E14001259,2023-current,notional,0.13034505,0.07736194,0.6981852,,2017
Hackney South and Shoreditch,London,2019_notional,0.7342368,lab,E14001260,2023-current,notional,0.103896104,0.081560954,0.7342368,,2017
Halesowen,West Midlands,2019_notional,0.60243803,con,E14001261,2023-current,notional,0.60243803,0.03487787,0.3261138,,2017
Halifax,Yorkshire and The Humber,2019_notional,0.45649308,lab,E14001262,2023-current,notional,0.4166998,0.048162017,0.45649308,,2017
Hamble Valley,South East,2019_notional,0.62230676,con,E14001263,2023-current,notional,0.62230676,0.21053277,0.13567434,,2017
Hammersmith and Chiswick,London,2019_notional,0.5077425,lab,E14001264,2023-current,notional,0.30459672,0.13870901,0.5077425,,2017
Hampstead and Highgate,London,2019_notional,0.47637966,lab,E14001265,2023-current,notional,0.23169011,0.2428773,0.47637966,,2017
"Harborough, Oadby and Wigston",East Midlands,2019_notional,0.5445659,con,E14001266,2023-current,notional,0.5445659,0.16945897,0.24775127,,2017
Harlow,East of England,2019_notional,0.64554477,con,E14001267,2023-current,notional,0.64554477,0.05876267,0.2930532,,2017
Harpenden and Berkhamsted,East of England,2019_notional,0.52273136,con,E14001268,2023-current,notional,0.52273136,0.2528257,0.10599591,,2017
Harrogate and Knaresborough,Yorkshire and The Humber,2019_notional,0.5198315,con,E14001269,2023-current,notional,0.5198315,0.36162972,0.09630376,,2017
Harrow East,London,2019_notional,0.54612046,con,E14001270,2023-current,notional,0.54612046,0.07516208,0.37424216,,2017
Harrow West,London,2019_notional,0.5309381,lab,E14001271,2023-current,notional,0.34822163,0.08248147,0.5309381,,2017
Hartlepool,North East,2019_notional,0.37683067,lab,E14001272,2023-current,notional,0.2892268,0.041328557,0.37683067,,2017
Harwich and North Essex,East of England,2019_notional,0.5855336,con,E14001273,2023-current,notional,0.5855336,0.10725908,0.25917092,,2017
Hastings and Rye,South East,2019_notional,0.49088764,con,E14001274,2023-current,notional,0.49088764,0.07404026,0.42369592,,2017
Havant,South East,2019_notional,0.6538654,con,E14001275,2023-current,notional,0.6538654,0.124197654,0.17970365,,2017
Hayes and Harlington,London,2019_notional,0.557917,lab,E14001276,2023-current,notional,0.347411,0.044256035,0.557917,,2017
Hazel Grove,North West,2019_notional,0.45585933,con,E14001277,2023-current,notional,0.45585933,0.37221706,0.16272476,,2017
Hemel Hempstead,East of England,2019_notional,0.54953635,con,E14001278,2023-current,notional,0.54953635,0.113502495,0.2813003,,2017
Hendon,London,2019_notional,0.48908824,con,E14001279,2023-current,notional,0.48908824,0.08573685,0.40879083,,2017
Henley and Thame,South East,2019_notional,0.5447977,con,E14001280,2023-current,notional,0.5447977,0.32376212,0.08931689,,2017
Hereford and South Herefordshire,West Midlands,2019_notional,0.6168461,con,E14001281,2023-current,notional,0.6168461,0.13301344,0.19923918,,2017
Herne Bay and Sandwich,South East,2019_notional,0.6437542,con,E14001282,2023-current,notional,0.6437542,0.07454574,0.24400534,,2017
Hertford and Stortford,East of England,2019_notional,0.55682576,con,E14001283,2023-current,notional,0.55682576,0.14212276,0.23677541,,2017
Hertsmere,East of England,2019_notional,0.64903927,con,E14001284,2023-current,notional,0.64903927,0.10879211,0.21143337,,2017
Hexham,North East,2019_notional,0.54338676,con,E14001285,2023-current,notional,0.54338676,0.094132915,0.31749004,,2017
Heywood and Middleton North,North West,2019_notional,0.4306884,lab,E14001286,2023-current,notional,0.41466805,0.042100552,0.4306884,,2017
