constituency_name,country/region,election,majority_proportion,winner,constituency_id,boundary_set,election_type,con_share,lib_share,lab_share,natSW_share,previous_election
Aldershot,South East,2019_notional,0.56828356,con,E14001063,2023-current,notional,0.56828356,0.17496334,0.22127035,,2017
Aldridge-Brownhills,West Midlands,2019_notional,0.696118,con,E14001064,2023-current,notional,0.696118,0.056085035,0.21518987,,2017
Altrincham and Sale West,North West,2019_notional,0.48045212,con,E14001065,2023-current,notional,0.48045212,0.1102204,0.3683509,,2017
Amber Valley,East Midlands,2019_notional,0.6384266,con,E14001066,2023-current,notional,0.6384266,0.0630358,0.26808307,,2017
Arundel and South Downs,South East,2019_notional,0.60437137,con,E14001067,2023-current,notional,0.60437137,0.18951897,0.15675071,,2017
Ashfield,East Midlands,2019_notional,0.3920464,con,E14001068,2023-current,notional,0.3920464,0.020722251,0.25579175,,2017
Ashford,South East,2019_notional,0.5920048,con,E14001069,2023-current,notional,0.5920048,0.10654809,0.23771589,,2017
Ashton-under-Lyne,North West,2019_notional,0.47531238,lab,E14001070,2023-current,notional,0.36198854,0.04287406,0.47531238,,2017
Aylesbury,South East,2019_notional,0.51692927,con,E14001071,2023-current,notional,0.51692927,0.21887092,0.22947761,,2017
Banbury,South East,2019_notional,0.51952374,con,E14001072,2023-current,notional,0.51952374,0.20340484,0.24794331,,2017
Barking,London,2019_notional,0.60937613,lab,E14001073,2023-current,notional,0.26824155,0.03305785,0.60937613,,2017
Barnsley North,Yorkshire and The Humber,2019_notional,0.3853642,lab,E14001074,2023-current,notional,0.23972572,0.03570144,0.3853642,,2017
Barnsley South,Yorkshire and The Humber,2019_notional,0.41815078,lab,E14001075,2023-current,notional,0.22653835,0.034952544,0.41815078,,2017
Barrow and Furness,North West,2019_notional,0.53052133,con,E14001076,2023-current,notional,0.53052133,0.045077626,0.38194096,,2017
Basildon and Billericay,East of England,2019_notional,0.6588052,con,E14001077,2023-current,notional,0.6588052,0.0842422,0.21595202,,2017
Basingstoke,South East,2019_notional,0.5268752,con,E14001078,2023-current,notional,0.5268752,0.13280319,0.2865321,,2017
Bassetlaw,East Midlands,2019_notional,0.54409885,con,E14001079,2023-current,notional,0.54409885,0.06732806,0.28007215,,2017
Bath,South West,2019_notional,0.5340741,lib,E14001080,2023-current,notional,0.32089105,0.5340741,0.12518461,,2017
Battersea,London,2019_notional,0.46354565,lab,E14001081,2023-current,notional,0.35381842,0.15142576,0.46354565,,2017
Beaconsfield,South East,2019_notional,0.554994,con,E14001082,2023-current,notional,0.554994,,0.099006325,,2017
Beckenham and Penge,London,2019_notional,0.4010176,lab,E14001083,2023-current,notional,0.39052576,0.16056998,0.4010176,,2017
Bedford,East of England,2019_notional,0.44338349,lab,E14001084,2023-current,notional,0.4195009,0.100251056,0.44338349,,2017
Bermondsey and Old Southwark,London,2019_notional,0.49637136,lab,E14001085,2023-current,notional,0.16802877,0.31079873,0.49637136,,2017
Bethnal Green and Stepney,London,2019_notional,0.7351204,lab,E14001086,2023-current,notional,0.10139937,0.09277092,0.7351204,,2017
Beverley and Holderness,Yorkshire and The Humber,2019_notional,0.6098862,con,E14001087,2023-current,notional,0.6098862,0.09253683,0.24660994,,2017
Bexhill and Battle,South East,2019_notional,0.61756843,con,E14001088,2023-current,notional,0.61756843,0.13386412,0.20773268,,2017
Bexleyheath and Crayford,London,2019_notional,0.6078224,con,E14001089,2023-current,notional,0.6078224,0.05987315,0.28989428,,2017
Bicester and Woodstock,South East,2019_notional,0.53913176,con,E14001090,2023-current,notional,0.53913176,0.2659114,0.16852917,,2017
Birkenhead,North West,2019_notional,0.59997684,lab,E14001091,2023-current,notional,0.15577064,0.039836172,0.59997684,,2017
Birmingham Edgbaston,West Midlands,2019_notional,0.5232132,lab,E14001092,2023-current,notional,0.35454726,0.07250159,0.5232132,,2017
Birmingham Erdington,West Midlands,2019_notional,0.49442154,lab,E14001093,2023-current,notional,0.4147811,0.03250681,0.49442154,,2017
Birmingham Hall Green and Moseley,West Midlands,2019_notional,0.662537,lab,E14001094,2023-current,notional,0.1502155,0.07157077,0.662537,,2017
Birmingham Hodge Hill and Solihull North,West Midlands,2019_notional,0.5992154,lab,E14001095,2023-current,notional,0.2855863,0.04329927,0.5992154,,2017
Birmingham Ladywood,West Midlands,2019_notional,0.82999885,lab,E14001096,2023-current,notional,0.098372065,0.02768609,0.82999885,,2017
Birmingham Northfield,West Midlands,2019_notional,0.4608395,con,E14001097,2023-current,notional,0.4608395,0.04607251,0.42701182,,2017
Birmingham Perry Barr,West Midlands,2019_notional,0.6801023,lab,E14001098,2023-current,notional,0.20424171,0.065266974,0.6801023,,2017
Birmingham Selly Oak,West Midlands,2019_notional,0.55713904,lab,E14001099,2023-current,notional,0.31627607,0.06242373,0.55713904,,2017
Birmingham Yardley,West Midlands,2019_notional,0.58103853,lab,E14001100,2023-current,notional,0.26745573,0.08931895,0.58103853,,2017
Bishop Auckland,North East,2019_notional,0.529963,con,E14001101,2023-current,notional,0.529963,0.035992,0.36610046,,2017
Blackburn,North West,2019_notional,0.6598236,lab,E14001102,2023-current,notional,0.23329133,0.024241036,0.6598236,,2017
Blackley and Middleton South,North West,2019_notional,0.590098,lab,E14001103,2023-current,notional,0.2822787,0.030094812,0.590098,,2017
Blackpool North and Fleetwood,North West,2019_notional,0.55838394,con,E14001104,2023-current,notional,0.55838394,0.04036125,0.35619804,,2017
Blackpool South,North West,2019_notional,0.48840004,con,E14001105,2023-current,notional,0.48840004,0.03529495,0.4011647,,2017
Blaydon and Consett,North East,2019_notional,0.4398169,lab,E14001106,2023-current,notional,0.34857872,0.045693602,0.4398169,,2017
Blyth and Ashington,North East,2019_notional,0.47685507,lab,E14001107,2023-current,notional,0.33454293,0.064224236,0.47685507,,2017
Bognor Regis and Littlehampton,South East,2019_notional,0.6216911,con,E14001108,2023-current,notional,0.6216911,0.13288897,0.1897353,,2017
Bolsover,East Midlands,2019_notional,0.47709957,con,E14001109,2023-current,notional,0.47709957,0.0381163,0.361656,,2017
Bolton North East,North West,2019_notional,0.45012438,con,E14001110,2023-current,notional,0.45012438,0.04389696,0.4244844,,2017
Bolton South and Walkden,North West,2019_notional,0.5658876,lab,E14001111,2023-current,notional,0.3174109,0.038536742,0.5658876,,2017
