model,accuracy,evaluation_year,evaluation_rows,changed_seat_accuracy,changed_seat_evaluation_rows,selection_score
XGBoost,0.9093799682034976,2019,629,0.44,75,1.3493799682034977
Random Forest,0.8950715421303657,2019,629,0.22666666666666666,75,1.1217382087970322
Logistic Regression,0.863275039745628,2019,629,0.16,75,1.023275039745628
Neural Network,0.8553259141494436,2019,629,0.17333333333333334,75,1.028659247482777
NN02: 64/32 validation-selected rate,0.8966613672496025,2019,629,0.21333333333333335,75,1.1099947005829358
NN03: 16 units fixed rate 0.3,0.9125596184419714,2019,629,0.3466666666666667,75,1.259226285108638
XGBoost Expanded,0.9157392686804452,2019,629,0.4666666666666667,75,1.3824059353471119
